subject,tag,file,lineno,LMC,experience-based,statistics-based,manual analysis
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\sphinxext\ipython_directive.py,829,5,1,1,1
ipython,rel-3.1.0,E:\my code\pysmell\subject_raw\ipython\ipython\IPython\sphinxext\ipython_directive.py,832,6,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\examples\pylab_examples\image_slices_viewer.py,30,5,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\blocking_input.py,342,5,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\quiver.py,281,5,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\backends\backend_tkagg.py,907,5,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\backends\backend_tkagg.py,930,5,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\backends\backend_tkagg.py,936,5,1,1,1
matplotlib,v1.4.3,E:\my code\pysmell\subject_raw\matplotlib\matplotlib\lib\matplotlib\backends\backend_tkagg.py,1005,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\contrib\admin\helpers.py,306,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\contrib\admin\helpers.py,306,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\contrib\admin\helpers.py,310,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\core\serializers\python.py,131,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\core\serializers\python.py,133,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\core\serializers\xml_serializer.py,241,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\core\serializers\xml_serializer.py,265,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\core\serializers\xml_serializer.py,268,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\db\models\base.py,188,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\db\models\fields\related.py,322,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\db\models\fields\related.py,642,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\db\models\fields\related.py,683,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\forms\models.py,890,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\forms\models.py,929,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\django\forms\models.py,934,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\docs\_ext\ticket_role.py,23,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\custom_managers\tests.py,408,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\custom_managers\tests.py,418,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\custom_managers\tests.py,428,5,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\many_to_one\tests.py,568,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\many_to_one\tests.py,573,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\one_to_one\tests.py,139,6,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\select_related\tests.py,47,7,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\select_related\tests.py,57,7,1,1,1
django,1.8.2,E:\my code\pysmell\subject_raw\django\django\tests\select_related_regress\tests.py,70,5,1,1,1
