subject,tag,file,lineno,PAR,experience-based,statistics-based,manual analysis
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\appengine\blog.py,42,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\stack_context_benchmark.py,33,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\benchmark\stack_context_benchmark.py,52,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,106,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,213,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,229,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\s3server\s3server.py,247,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\demos\webspider\webspider.py,43,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\scripts\custom_fixers\fix_future_imports.py,18,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\scripts\custom_fixers\fix_future_imports.py,31,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\scripts\custom_fixers\fix_future_imports.py,35,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\scripts\custom_fixers\fix_unicode_literal.py,12,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\maint\test\redbot\red_test.py,109,5,1,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,133,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,152,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,247,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,438,5,1,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,481,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,497,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,517,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,520,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,531,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,683,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,749,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,797,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,839,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,931,5,1,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,943,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1005,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1022,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\auth.py,1046,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,334,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,368,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\concurrent.py,437,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,77,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,82,5,1,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,119,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,282,5,1,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,452,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,469,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\curl_httpclient.py,481,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,323,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,480,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,494,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,800,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,836,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\gen.py,971,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,52,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,90,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,331,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,474,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,516,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,553,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,598,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\http1connection.py,603,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,91,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,206,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,258,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,261,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,540,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpclient.py,616,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpserver.py,128,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpserver.py,173,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpserver.py,181,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpserver.py,189,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpserver.py,255,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httpserver.py,268,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,129,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,146,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,208,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,228,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,484,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,510,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,550,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,663,3,0,0,0
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,685,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\httputil.py,721,4,0,1,1
tornado,v4.2.0,E:\my code\pysmell\subject_raw\tornado\tornado\tornado\ioloop.py,283,4,0,1,1
