tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v1.7.0,test/units/TestInventory.py,0,0,0,0,1,0,0,0,0,0,379,0,0
v1.7.0,lib/ansible/runner/lookup_plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.7.0,docsite/conf.py,0,0,0,0,0,0,0,0,0,0,28,0,0
v1.7.0,plugins/inventory/ssh_config.py,0,0,0,0,0,0,0,0,0,0,55,0,0
v1.7.0,test/units/TestSynchronize.py,1,1,0,0,0,0,0,0,0,0,133,1,0
v1.7.0,docsite/build-site.py,0,0,0,0,0,0,0,0,0,0,57,1,0
v1.7.0,lib/ansible/callback_plugins/noop.py,3,0,0,0,0,0,0,0,0,0,44,0,0
v1.7.0,lib/ansible/runner/lookup_plugins/pipe.py,0,0,0,0,0,0,0,0,0,0,19,0,0
v1.7.0,plugins/inventory/linode.py,1,1,0,0,0,0,0,0,0,0,190,0,0
v1.7.0,lib/ansible/runner/action_plugins/group_by.py,1,1,0,0,0,0,0,0,0,0,65,1,0
v1.7.0,plugins/callbacks/log_plays.py,3,0,0,0,0,0,0,0,0,0,63,0,0
v1.7.0,lib/ansible/runner/lookup_plugins/file.py,0,0,0,0,0,0,0,0,0,0,25,0,0
v1.7.0,lib/ansible/callback_plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.7.0,lib/ansible/utils/vault.py,2,0,0,0,0,0,0,0,0,0,298,5,1
v1.7.0,lib/ansible/runner/connection_plugins/libvirt_lxc.py,2,0,0,0,0,0,0,0,0,0,77,1,0
v1.7.0,lib/ansible/constants.py,2,0,0,0,0,0,0,0,0,0,135,9,0
v1.7.0,setup.py,0,0,0,0,0,0,0,0,0,0,51,3,1
v1.7.0,lib/ansible/runner/connection_plugins/fireball.py,2,0,0,0,0,0,0,0,0,0,95,1,0
v1.7.0,lib/ansible/playbook/play.py,3,6,0,0,0,0,0,0,0,1,577,22,13
v1.7.0,lib/ansible/utils/module_docs_fragments/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.7.0,lib/ansible/runner/lookup_plugins/etcd.py,0,0,0,0,0,0,0,0,0,0,47,0,0
v1.7.0,plugins/inventory/ec2.py,2,4,0,0,0,0,0,0,0,2,362,5,0
v1.7.0,lib/ansible/inventory/__init__.py,1,1,0,0,0,0,0,0,1,0,408,7,4
v1.7.0,lib/ansible/runner/shell_plugins/sh.py,1,0,0,0,0,0,0,0,0,0,55,6,0
v1.7.0,plugins/inventory/vmware.py,0,1,0,0,0,0,0,0,0,4,136,0,0
v1.7.0,lib/ansible/module_utils/gce.py,0,1,0,0,0,0,0,0,0,0,42,1,0
v1.7.0,lib/ansible/utils/__init__.py,2,7,0,0,0,0,0,0,0,0,914,51,9
v1.7.0,plugins/callbacks/osx_say.py,3,0,0,0,0,0,0,0,0,0,58,0,0
v1.7.0,test/units/TestVault.py,0,0,0,0,0,0,0,0,0,0,116,1,0
