tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
2.30.0,tests/unit/rds/test_snapshot.py,0,0,0,0,0,0,0,0,0,0,109,0,0
2.30.0,tests/unit/sqs/test_queue.py,0,0,0,0,0,0,0,0,0,0,13,2,0
2.30.0,tests/mturk/create_hit_test.py,0,0,0,0,0,0,0,0,0,0,15,0,0
2.30.0,boto/s3/bucket.py,0,1,0,0,1,0,0,0,0,0,899,5,0
2.30.0,boto/ecs/__init__.py,0,0,0,0,0,0,0,0,0,0,51,1,0
2.30.0,tests/unit/swf/test_layer2_types.py,0,0,0,0,0,0,0,0,0,0,33,0,0
2.30.0,tests/integration/s3/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,9,0,0
2.30.0,boto/compat.py,0,0,0,0,0,0,0,0,0,0,10,6,0
2.30.0,boto/directconnect/exceptions.py,0,0,0,0,0,0,0,0,0,0,4,0,0
2.30.0,boto/datapipeline/layer1.py,0,0,0,0,1,0,0,0,0,0,178,1,0
2.30.0,boto/cloudfront/logging.py,0,0,0,0,0,0,0,0,0,0,12,0,0
2.30.0,boto/rds/vpcsecuritygroupmembership.py,0,0,0,0,0,0,0,0,0,0,17,0,0
2.30.0,boto/cloudsearch2/__init__.py,0,0,0,0,0,0,0,0,0,0,12,0,0
2.30.0,boto/ec2/autoscale/scheduled.py,0,0,0,0,0,0,0,0,0,0,49,1,0
2.30.0,boto/rds/parametergroup.py,0,0,0,0,0,0,0,0,0,0,147,0,0
2.30.0,boto/s3/key.py,1,4,0,0,1,0,0,0,0,0,826,11,0
2.30.0,boto/sns/__init__.py,0,0,0,0,0,0,0,0,0,0,11,0,0
2.30.0,boto/connection.py,5,3,0,0,1,0,0,0,1,0,695,9,0
2.30.0,tests/integration/ec2/test_connection.py,0,1,0,0,0,0,0,0,0,0,161,1,0
2.30.0,tests/integration/cloudtrail/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,9,0,0
2.30.0,tests/unit/cloudsearch2/test_document.py,0,0,0,0,0,0,0,0,0,3,213,6,0
2.30.0,tests/integration/s3/test_multipart.py,0,0,0,0,0,0,0,0,0,0,99,0,0
2.30.0,boto/sdb/db/key.py,0,0,0,0,0,0,0,0,0,0,27,1,0
2.30.0,boto/https_connection.py,0,0,0,0,0,0,0,0,1,0,66,2,0
2.30.0,boto/dynamodb2/layer1.py,1,0,0,0,1,0,0,0,0,0,298,2,0
2.30.0,boto/kinesis/__init__.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.30.0,boto/cacerts/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.30.0,boto/mws/connection.py,0,0,9,0,1,0,1,0,0,0,802,6,1
2.30.0,tests/unit/glacier/test_layer1.py,0,0,0,0,0,0,0,0,0,0,76,2,0
2.30.0,boto/rds2/exceptions.py,0,0,0,0,0,0,0,0,0,0,107,0,0
2.30.0,boto/vpc/networkacl.py,0,0,0,0,0,0,0,0,0,0,101,1,0
2.30.0,boto/sqs/message.py,0,0,0,0,0,0,0,0,0,0,131,0,0
