tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
rel-0.13.2,docs/examples/parallel/demo/dependencies.py,0,0,0,0,0,0,0,0,0,0,91,0,0
rel-0.13.2,IPython/parallel/error.py,0,0,0,0,0,0,0,0,0,0,191,3,1
rel-0.13.2,IPython/nbformat/v3/tests/nbexamples.py,0,0,0,0,0,0,0,0,0,0,79,3,0
rel-0.13.2,IPython/lib/__init__.py,0,0,0,0,0,0,0,0,0,0,3,0,0
rel-0.13.2,docs/attic/nbexample_output.py,0,0,0,0,0,0,0,0,0,0,10,0,0
rel-0.13.2,IPython/nbformat/v3/tests/test_json.py,0,0,0,0,0,0,0,0,0,0,19,1,0
rel-0.13.2,IPython/lib/latextools.py,0,0,0,0,0,0,0,0,0,0,78,0,0
rel-0.13.2,docs/examples/parallel/wave2D/RectPartitioner.py,0,3,0,0,0,0,0,0,0,0,345,0,0
rel-0.13.2,IPython/quarantine/ipy_workdir.py,0,0,0,0,0,0,0,0,0,0,26,1,0
rel-0.13.2,IPython/zmq/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-0.13.2,IPython/frontend/html/notebook/tests/test_nbmanager.py,0,0,0,0,0,0,0,0,0,0,24,1,0
rel-0.13.2,IPython/deathrow/PhysicalQInput.py,0,0,0,0,0,0,0,0,0,0,18,1,0
rel-0.13.2,IPython/zmq/entry_point.py,0,0,0,0,0,0,0,0,0,0,96,0,0
rel-0.13.2,IPython/utils/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-0.13.2,IPython/quarantine/ipy_jot.py,0,1,0,0,0,0,0,0,0,0,188,1,0
rel-0.13.2,docs/autogen_api.py,0,0,0,0,0,0,0,0,0,0,42,5,0
rel-0.13.2,IPython/extensions/parallelmagic.py,0,0,0,0,0,0,0,0,0,0,4,0,0
rel-0.13.2,IPython/nbformat/v3/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-0.13.2,IPython/frontend/qt/console/console_widget.py,0,3,0,0,1,0,0,0,0,0,1126,3,0
rel-0.13.2,docs/examples/tests/heartbeat/hb_gil.py,0,0,0,0,0,0,0,0,0,0,14,0,0
rel-0.13.2,IPython/zmq/completer.py,0,0,0,0,0,0,0,0,0,0,62,0,0
rel-0.13.2,IPython/lib/demo.py,0,0,0,0,0,0,0,0,0,0,226,0,0
rel-0.13.2,IPython/extensions/storemagic.py,0,1,0,0,0,0,0,0,0,0,115,7,2
rel-0.13.2,IPython/utils/py3compat.py,0,0,0,0,0,0,0,0,0,0,119,2,0
rel-0.13.2,IPython/parallel/client/map.py,0,0,0,0,0,0,0,0,0,0,90,1,0
rel-0.13.2,IPython/core/magics/config.py,0,0,0,0,0,0,0,0,0,0,40,1,0
rel-0.13.2,IPython/core/tests/test_fakemodule.py,0,0,0,0,0,0,0,0,0,0,11,2,0
rel-0.13.2,docs/examples/parallel/itermapresult.py,0,0,0,0,0,0,0,0,0,0,34,0,0
rel-0.13.2,IPython/parallel/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,85,0,0
rel-0.13.2,IPython/testing/plugin/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-0.13.2,IPython/nbformat/v3/tests/test_nbbase.py,0,0,0,0,0,0,0,0,0,0,113,2,0
rel-0.13.2,IPython/config/__init__.py,0,0,0,0,0,0,0,0,0,0,4,0,0
rel-0.13.2,IPython/frontend/html/notebook/notebookmanager.py,0,0,0,0,0,0,0,0,0,0,195,0,0
rel-0.13.2,IPython/nbformat/v3/tests/test_nbpy.py,0,0,0,0,0,0,0,0,0,0,27,0,0
rel-0.13.2,IPython/lib/security.py,0,0,0,0,0,0,0,0,0,0,38,0,0
rel-0.13.2,IPython/utils/dir2.py,0,0,0,0,0,0,0,0,0,0,26,0,0
rel-0.13.2,IPython/deathrow/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,1,0
rel-0.13.2,IPython/utils/attic.py,0,0,0,0,0,0,0,0,0,0,64,0,0
rel-0.13.2,IPython/testing/mkdoctests.py,0,0,0,0,0,0,0,0,0,0,112,0,0
rel-0.13.2,IPython/core/autocall.py,0,0,0,0,0,0,0,0,0,0,20,0,0
rel-0.13.2,IPython/nbformat/v1/nbjson.py,0,0,0,0,0,0,0,0,0,0,23,0,0
rel-0.13.2,IPython/utils/tests/test_openpy.py,0,0,0,0,0,0,0,0,0,0,17,0,0
rel-0.13.2,IPython/utils/wildcard.py,0,0,0,0,0,0,0,0,1,0,66,0,0
rel-0.13.2,docs/examples/parallel/workflow/job_wrapper.py,0,0,0,0,0,0,0,0,0,0,9,0,0
rel-0.13.2,docs/examples/core/example-gnuplot.py,0,0,0,0,0,0,0,0,0,0,13,0,0
rel-0.13.2,docs/examples/core/display.py,0,0,0,0,0,0,0,0,0,0,15,0,0
rel-0.13.2,docs/examples/parallel/wave2D/wavesolver.py,1,2,0,0,0,0,0,0,0,0,176,0,0
rel-0.13.2,docs/examples/core/seteditor.py,0,0,0,0,0,0,0,0,0,0,5,0,0
rel-0.13.2,IPython/deathrow/oldfrontend/wx/console_widget.py,0,2,0,0,0,0,0,0,0,0,362,1,0
rel-0.13.2,IPython/core/logger.py,0,0,0,0,0,0,0,0,0,0,124,0,0
rel-0.13.2,docs/examples/lib/gui-qt.py,0,0,0,0,0,0,0,0,0,0,23,0,0
rel-0.13.2,IPython/testing/iptest.py,0,1,0,0,0,0,0,0,0,0,299,25,1
rel-0.13.2,IPython/parallel/controller/hub.py,0,1,0,0,1,0,0,0,0,0,950,3,0
rel-0.13.2,IPython/core/ipapi.py,0,0,0,0,0,0,0,0,0,0,5,2,0
rel-0.13.2,IPython/lib/tests/test_kernel.py,0,0,0,0,0,0,0,0,0,0,31,0,0
rel-0.13.2,IPython/deathrow/ipy_profile_sh.py,0,0,0,0,0,0,0,0,0,0,135,1,0
rel-0.13.2,IPython/deathrow/__init__.py,0,0,0,0,0,0,0,0,0,0,0,1,0
rel-0.13.2,IPython/core/tests/test_pylabtools.py,0,0,0,0,0,0,0,0,0,0,24,3,0
rel-0.13.2,IPython/core/magics/extension.py,0,0,0,0,0,0,0,0,0,0,31,0,0
rel-0.13.2,docs/examples/parallel/plotting/plotting_frontend.py,0,0,0,0,0,0,0,0,0,0,29,0,0
rel-0.13.2,IPython/deathrow/ipy_kitcfg.py,0,0,0,0,0,0,0,0,0,0,44,1,0
rel-0.13.2,IPython/parallel/tests/test_client.py,0,0,0,0,0,0,0,0,0,0,359,1,0
rel-0.13.2,IPython/core/extensions.py,0,0,0,0,0,0,0,0,0,0,68,3,0
rel-0.13.2,IPython/utils/syspathcontext.py,0,0,0,0,0,0,0,0,0,0,34,0,0
rel-0.13.2,IPython/core/tests/test_prompts.py,0,0,0,0,0,0,0,0,0,0,84,2,0
rel-0.13.2,IPython/nbformat/v3/nbjson.py,0,0,0,0,0,0,0,0,0,0,35,1,0
rel-0.13.2,IPython/config/profile/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-0.13.2,IPython/frontend/qt/console/mainwindow.py,0,1,0,0,1,0,0,0,0,0,595,4,0
rel-0.13.2,docs/examples/parallel/demo/throughput.py,0,0,0,0,0,0,0,0,0,0,57,0,0
rel-0.13.2,IPython/extensions/tests/test_cythonmagic.py,0,0,0,0,0,0,0,0,0,0,37,1,0
