tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
rel-2.1.0,IPython/parallel/error.py,0,0,0,0,0,0,0,0,0,0,147,0,0
rel-2.1.0,IPython/nbformat/v3/tests/nbexamples.py,0,0,0,0,0,0,0,0,0,0,80,1,0
rel-2.1.0,IPython/nbconvert/preprocessors/highlightmagics.py,0,0,0,0,0,0,0,0,0,0,42,1,0
rel-2.1.0,IPython/nbconvert/exporters/tests/cheese.py,0,0,0,0,0,0,0,0,0,0,11,0,0
rel-2.1.0,IPython/core/tests/test_events.py,0,0,0,0,0,0,0,0,0,0,37,1,0
rel-2.1.0,IPython/lib/tests/test_display.py,0,0,0,0,0,0,0,0,0,0,103,0,0
rel-2.1.0,IPython/html/base/zmqhandlers.py,0,0,0,0,0,0,0,0,0,0,84,23,0
rel-2.1.0,IPython/qt/console/call_tip_widget.py,0,1,0,0,0,0,0,0,0,0,172,2,0
rel-2.1.0,IPython/nbformat/v3/tests/test_json.py,0,0,0,0,0,0,0,0,0,0,53,1,0
rel-2.1.0,IPython/lib/latextools.py,0,0,0,0,0,0,0,0,0,0,133,1,0
rel-2.1.0,IPython/html/services/notebooks/filenbmanager.py,1,0,0,0,0,0,0,0,1,0,286,1,0
rel-2.1.0,IPython/terminal/console/tests/test_console.py,0,0,0,0,0,0,0,0,0,0,45,2,0
rel-2.1.0,IPython/nbconvert/filters/tests/test_citation.py,0,0,0,0,0,0,0,0,0,0,45,0,0
rel-2.1.0,IPython/kernel/tests/test_kernelmanager.py,0,0,0,0,0,0,0,0,0,0,42,0,0
rel-2.1.0,IPython/html/tests/test_nbextensions.py,0,0,0,0,0,0,0,0,0,0,211,1,0
rel-2.1.0,IPython/utils/_tokenize_py2.py,1,1,0,0,0,0,0,0,0,0,300,0,0
rel-2.1.0,IPython/utils/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-2.1.0,IPython/kernel/ioloop/manager.py,0,0,0,0,0,0,0,0,0,0,32,0,0
rel-2.1.0,IPython/nbformat/tests/test_sign.py,0,0,0,0,0,0,0,0,0,0,85,4,0
rel-2.1.0,IPython/kernel/managerabc.py,0,0,0,0,0,0,0,0,0,0,62,0,0
rel-2.1.0,docs/autogen_api.py,0,0,0,0,0,0,0,0,0,0,22,8,0
rel-2.1.0,IPython/extensions/parallelmagic.py,0,0,0,0,0,0,0,0,0,0,4,0,0
rel-2.1.0,IPython/nbformat/v3/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-2.1.0,IPython/nbconvert/filters/citation.py,0,0,0,0,0,0,0,0,0,0,53,0,0
rel-2.1.0,IPython/lib/demo.py,0,0,0,0,0,0,0,0,0,0,229,0,0
rel-2.1.0,IPython/extensions/storemagic.py,0,1,0,0,0,0,0,0,0,0,118,0,0
rel-2.1.0,IPython/utils/py3compat.py,0,0,0,0,0,0,0,0,0,0,166,3,0
rel-2.1.0,IPython/parallel/client/map.py,0,0,0,0,0,0,0,0,0,0,87,1,0
rel-2.1.0,IPython/lib/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
rel-2.1.0,examples/Embedding/ipkernel_wxapp.py,0,0,0,0,0,0,0,0,0,0,51,0,0
rel-2.1.0,IPython/kernel/inprocess/channels.py,0,0,0,0,0,0,0,0,0,0,108,0,0
rel-2.1.0,IPython/core/magics/config.py,0,0,0,0,0,0,0,0,1,0,50,0,0
rel-2.1.0,IPython/nbconvert/exporters/tests/test_exporter.py,0,0,0,0,0,0,0,0,0,0,26,0,0
rel-2.1.0,IPython/parallel/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,100,0,0
rel-2.1.0,IPython/kernel/multikernelmanager.py,0,0,0,0,1,0,0,0,0,0,110,2,0
rel-2.1.0,IPython/core/tests/test_extension.py,0,0,0,0,0,0,0,0,0,0,55,0,0
rel-2.1.0,IPython/testing/__main__.py,0,0,0,0,0,0,0,0,0,0,3,0,0
rel-2.1.0,IPython/nbformat/v3/tests/test_nbbase.py,0,0,0,0,0,0,0,0,0,0,122,1,0
rel-2.1.0,IPython/kernel/tests/test_connect.py,0,0,0,0,0,0,0,0,0,0,82,0,0
rel-2.1.0,examples/Parallel Computing/nwmerge.py,0,0,0,0,0,0,0,0,0,0,62,0,0
rel-2.1.0,examples/Parallel Computing/interengine/bintree_script.py,1,0,0,0,0,0,0,0,0,0,38,0,0
rel-2.1.0,IPython/nbformat/v3/rwbase.py,0,0,0,0,0,0,0,0,0,0,104,2,0
rel-2.1.0,IPython/nbformat/v3/tests/test_nbpy.py,0,0,0,0,0,0,0,0,0,0,28,0,0
rel-2.1.0,IPython/lib/security.py,0,0,0,0,0,0,0,0,0,0,38,2,0
rel-2.1.0,IPython/utils/dir2.py,0,0,0,0,0,0,0,0,0,0,36,0,0
rel-2.1.0,IPython/qt/console/styles.py,0,0,0,0,0,0,0,0,0,0,65,0,0
rel-2.1.0,IPython/parallel/engine/__main__.py,0,0,0,0,0,0,0,0,0,0,3,0,0
rel-2.1.0,IPython/html/services/nbconvert/handlers.py,0,0,0,0,0,0,0,0,0,0,19,0,0
rel-2.1.0,IPython/core/autocall.py,0,0,0,0,0,0,0,0,0,0,20,0,0
rel-2.1.0,IPython/kernel/client.py,0,0,0,0,0,0,0,0,0,0,111,0,0
rel-2.1.0,IPython/nbformat/v1/nbjson.py,0,0,0,0,0,0,0,0,0,0,23,0,0
rel-2.1.0,examples/IPython Kernel/ipython-get-history.py,0,0,0,0,0,0,0,0,0,0,14,0,0
rel-2.1.0,IPython/utils/wildcard.py,0,0,0,0,0,0,0,0,1,0,67,0,0
rel-2.1.0,IPython/html/widgets/widget_button.py,0,0,0,0,0,0,0,0,0,0,19,8,0
rel-2.1.0,IPython/core/tests/nonascii2.py,0,0,0,0,0,0,0,0,0,0,1,0,0
rel-2.1.0,IPython/html/services/clusters/handlers.py,0,0,0,0,0,0,0,0,0,0,30,1,0
rel-2.1.0,IPython/nbconvert/exporters/tests/test_latex.py,0,0,0,0,0,0,0,0,0,0,31,7,0
rel-2.1.0,examples/IPython Kernel/gui/gui-wx.py,0,0,0,0,0,0,0,0,0,0,55,1,0
rel-2.1.0,IPython/qt/console/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-2.1.0,IPython/html/services/kernels/handlers.py,0,0,0,0,0,0,0,0,0,0,122,12,0
rel-2.1.0,IPython/nbconvert/filters/__init__.py,0,0,0,0,0,0,0,0,0,0,7,0,0
rel-2.1.0,IPython/lib/editorhooks.py,0,0,0,0,0,0,0,0,0,0,52,0,0
rel-2.1.0,IPython/terminal/console/tests/test_image_handler.py,0,0,0,0,0,0,0,0,0,0,65,0,0
rel-2.1.0,IPython/nbconvert/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
rel-2.1.0,IPython/core/logger.py,0,1,0,0,0,0,0,0,0,0,125,0,0
rel-2.1.0,IPython/qt/console/completion_lexer.py,0,0,0,0,0,0,0,0,0,0,39,2,0
rel-2.1.0,IPython/testing/iptest.py,0,0,0,0,0,0,0,0,0,0,284,12,0
rel-2.1.0,examples/Embedding/embed_class_short.py,0,0,0,0,0,0,0,0,0,0,16,0,0
rel-2.1.0,docs/autogen_config.py,0,0,0,0,0,0,0,0,0,0,62,1,0
rel-2.1.0,IPython/nbconvert/tests/base.py,0,0,0,0,0,0,0,0,0,0,77,3,0
rel-2.1.0,IPython/qt/console/completion_plain.py,0,0,0,0,0,0,0,0,0,0,29,0,0
rel-2.1.0,IPython/extensions/tests/test_storemagic.py,0,0,0,0,0,0,0,0,0,0,38,0,0
rel-2.1.0,IPython/kernel/comm/comm.py,0,0,0,0,0,0,0,0,0,0,84,11,0
rel-2.1.0,IPython/qt/console/__main__.py,0,0,0,0,0,0,0,0,0,0,3,0,0
rel-2.1.0,IPython/qt/console/frontend_widget.py,0,0,0,0,1,0,0,0,0,0,492,10,0
rel-2.1.0,IPython/core/excolors.py,0,0,0,0,0,0,0,0,0,0,62,0,0
rel-2.1.0,IPython/kernel/zmq/pylab/config.py,0,0,0,0,0,0,0,0,0,0,51,1,0
