tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v1.8.0,numpy/lib/__init__.py,0,0,0,0,0,0,0,0,0,0,38,1,0
v1.8.0,numpy/distutils/tests/f2py_ext/tests/test_fib2.py,0,0,0,0,0,0,0,0,0,0,9,0,0
v1.8.0,tools/allocation_tracking/setup.py,0,0,0,0,0,0,0,0,0,0,9,0,0
v1.8.0,numpy/distutils/tests/pyrex_ext/tests/test_primes.py,0,0,0,0,0,0,0,0,0,0,10,0,0
v1.8.0,numpy/lib/polynomial.py,0,0,0,0,0,0,0,0,0,0,408,5,1
v1.8.0,numpy/distutils/fcompiler/ibm.py,0,0,0,0,0,0,0,0,0,0,73,0,0
v1.8.0,numpy/ma/tests/test_regression.py,0,0,0,0,0,0,0,0,0,0,59,0,0
v1.8.0,numpy/oldnumeric/typeconv.py,0,0,0,0,0,0,0,0,0,0,37,0,0
v1.8.0,numpy/distutils/exec_command.py,0,2,0,0,0,0,0,0,0,0,413,1,0
v1.8.0,numpy/distutils/npy_pkg_config.py,1,0,0,0,0,0,0,0,0,0,244,2,0
v1.8.0,numpy/core/tests/test_item_selection.py,0,0,0,0,0,0,0,0,0,0,52,1,0
v1.8.0,numpy/linalg/tests/test_build.py,0,0,0,0,0,0,0,0,0,0,40,2,0
v1.8.0,numpy/core/tests/test_umath_complex.py,1,1,0,0,0,0,0,0,0,0,336,0,0
v1.8.0,numpy/f2py/use_rules.py,0,0,0,0,0,0,0,0,0,0,61,0,0
v1.8.0,numpy/core/code_generators/generate_ufunc_api.py,0,0,0,0,0,0,0,0,0,0,62,2,0
v1.8.0,numpy/core/tests/test_nditer.py,0,4,0,0,0,0,0,0,0,5,1975,1,0
v1.8.0,numpy/core/code_generators/__init__.py,0,0,0,0,0,0,0,0,0,0,1,0,0
v1.8.0,numpy/polynomial/tests/test_laguerre.py,0,1,0,0,0,0,0,0,0,0,359,2,0
v1.8.0,numpy/f2py/setup.py,0,0,0,0,0,0,0,0,0,0,66,1,1
v1.8.0,numpy/distutils/conv_template.py,0,0,0,0,0,0,0,0,0,0,178,0,0
v1.8.0,numpy/ma/timer_comparison.py,0,0,0,0,0,0,0,0,0,0,357,0,0
v1.8.0,numpy/core/tests/test_dtype.py,0,0,0,0,0,0,0,0,0,12,357,4,2
v1.8.0,numpy/f2py/doc/collectinput.py,0,0,0,0,0,0,0,0,0,0,54,1,0
v1.8.0,numpy/core/tests/test_scalarprint.py,0,0,0,0,0,0,0,0,0,0,21,0,0
v1.8.0,doc/numpybook/comparison/weave/inline.py,0,0,0,0,0,0,0,0,0,0,25,1,0
v1.8.0,numpy/distutils/command/sdist.py,0,0,0,0,0,0,0,0,0,0,20,0,0
v1.8.0,numpy/lib/tests/test_arrayterator.py,0,0,0,0,0,0,0,0,0,0,32,0,0
v1.8.0,numpy/core/fromnumeric.py,0,0,0,0,0,0,0,0,0,0,375,6,0
v1.8.0,numpy/polynomial/tests/test_polyutils.py,0,0,0,0,0,0,0,0,0,0,73,1,0
v1.8.0,numpy/oldnumeric/fft.py,0,0,0,0,0,0,0,0,0,0,20,0,0
v1.8.0,numpy/linalg/tests/test_deprecations.py,0,0,0,0,0,0,0,0,0,0,12,0,0
v1.8.0,numpy/f2py/tests/test_assumed_shape.py,0,0,0,0,0,0,0,0,0,0,28,0,0
v1.8.0,numpy/core/tests/test_multiarray_assignment.py,0,0,0,0,0,0,0,0,0,0,49,1,0
v1.8.0,numpy/core/code_generators/generate_numpy_api.py,0,1,0,0,0,0,0,0,0,0,78,4,0
v1.8.0,numpy/distutils/command/build_clib.py,0,1,0,0,0,0,0,0,0,0,216,0,0
v1.8.0,numpy/distutils/tests/f2py_f90_ext/__init__.py,0,0,0,0,0,0,0,0,0,0,1,0,0
v1.8.0,numpy/distutils/numpy_distribution.py,0,0,0,0,0,0,0,0,0,0,10,0,0
v1.8.0,numpy/matrixlib/__init__.py,0,0,0,0,0,0,0,0,0,0,7,0,0
v1.8.0,numpy/core/tests/test_machar.py,0,0,0,0,0,0,0,0,0,0,21,0,0
v1.8.0,doc/newdtype_example/example.py,0,0,0,0,0,0,0,0,0,0,6,0,0
v1.8.0,numpy/f2py/capi_maps.py,0,4,0,0,0,0,0,0,0,6,642,0,0
v1.8.0,numpy/core/tests/test_deprecations.py,0,0,0,0,0,0,0,0,0,0,154,8,0
v1.8.0,numpy/oldnumeric/tests/test_regression.py,0,0,0,0,0,0,0,0,0,0,15,0,0
v1.8.0,numpy/oldnumeric/__init__.py,0,0,0,0,0,0,0,0,0,0,41,0,0
v1.8.0,numpy/lib/tests/test_nanfunctions.py,0,0,0,0,0,0,0,0,0,0,400,7,1
v1.8.0,doc/source/conf.py,0,0,0,0,0,0,0,0,0,0,147,0,0
v1.8.0,numpy/random/setup.py,0,0,0,0,0,0,0,0,0,0,44,2,0
v1.8.0,numpy/lib/tests/test_stride_tricks.py,0,0,0,0,0,0,0,0,0,3,164,4,0
v1.8.0,numpy/core/tests/test_records.py,0,0,0,0,0,0,0,0,0,0,145,0,0
v1.8.0,numpy/matrixlib/tests/test_numeric.py,0,0,0,0,0,0,0,0,0,0,8,1,0
v1.8.0,numpy/numarray/functions.py,0,1,0,0,0,0,0,0,0,0,375,0,0
v1.8.0,numpy/distutils/command/egg_info.py,0,0,0,0,0,0,0,0,0,0,6,0,0
v1.8.0,numpy/core/tests/test_errstate.py,0,0,0,0,0,0,0,0,0,0,37,0,0
v1.8.0,numpy/testing/decorators.py,0,0,0,0,0,0,0,0,0,0,81,0,0
v1.8.0,numpy/fft/helper.py,0,0,0,0,0,0,0,0,0,0,56,0,0
