tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v0.12.0,scipy/sparse/sputils.py,0,0,0,0,0,0,0,0,0,0,72,20,0
v0.12.0,doc/source/tutorial/examples/newton_krylov_preconditioning.py,0,0,0,0,0,0,0,0,0,0,60,0,0
v0.12.0,scipy/sparse/linalg/isolve/tests/test_iterative.py,0,1,0,0,0,0,0,0,0,0,212,15,0
v0.12.0,tools/win32/build_scripts/pavement.py,0,0,0,0,0,0,0,0,0,0,209,0,0
v0.12.0,scipy/sparse/csgraph/tests/test_shortest_path.py,0,0,0,0,0,0,0,0,0,0,125,6,0
v0.12.0,scipy/interpolate/fitpack.py,1,3,0,0,0,0,1,0,0,0,413,17,1
v0.12.0,scipy/interpolate/interpolate_wrapper.py,0,0,0,0,0,0,0,0,0,0,73,7,0
v0.12.0,scipy/stats/mstats_extras.py,0,0,0,0,0,0,0,0,1,0,185,2,0
v0.12.0,scipy/sparse/benchmarks/bench_sparse.py,0,0,0,0,0,0,0,0,0,0,220,10,1
v0.12.0,scipy/weave/standard_array_spec.py,0,0,0,0,0,0,0,0,0,0,73,3,0
v0.12.0,scipy/sparse/linalg/dsolve/umfpack/setup.py,0,0,0,0,0,0,0,0,0,0,24,5,0
v0.12.0,scipy/io/matlab/tests/test_byteordercodes.py,0,0,0,0,0,0,0,0,0,0,23,1,0
v0.12.0,scipy/stats/rv.py,0,0,0,0,0,0,0,0,0,0,19,2,0
v0.12.0,scipy/sparse/linalg/isolve/tests/test_utils.py,0,0,0,0,0,0,0,0,0,0,6,0,0
v0.12.0,scipy/sparse/spfuncs.py,0,0,0,0,0,0,0,0,0,0,51,4,0
v0.12.0,scipy/spatial/distance.py,0,3,0,0,0,0,0,0,0,0,754,6,1
v0.12.0,scipy/weave/tests/test_c_spec.py,0,0,0,0,0,0,0,0,0,0,514,9,0
v0.12.0,scipy/integrate/tests/test_quadpack.py,0,0,0,0,0,0,0,0,0,0,117,7,1
v0.12.0,scipy/ndimage/fourier.py,0,0,0,0,0,0,0,0,0,0,82,2,0
v0.12.0,scipy/sparse/linalg/tests/test_interface.py,0,0,0,0,0,0,0,0,0,0,74,14,0
v0.12.0,scipy/sparse/csgraph/tests/test_traversal.py,0,0,0,0,0,0,0,0,0,0,36,2,0
v0.12.0,scipy/weave/vtk_spec.py,0,0,0,0,0,0,0,0,0,0,55,2,0
v0.12.0,scipy/setup.py,0,0,0,0,0,0,0,0,0,0,28,3,0
v0.12.0,scipy/ndimage/__init__.py,0,0,0,0,0,0,0,0,0,0,12,1,0
v0.12.0,scipy/stats/stats.py,1,2,0,0,0,0,0,0,1,0,1060,36,6
v0.12.0,scipy/linalg/flinalg.py,0,0,0,0,0,0,0,0,0,0,32,2,0
v0.12.0,tools/authors.py,0,0,0,0,0,0,0,0,0,0,169,3,0
v0.12.0,scipy/integrate/tests/test_integrate.py,0,0,0,0,0,0,0,0,0,0,282,10,1
v0.12.0,scipy/signal/tests/test_wavelets.py,0,1,0,0,0,0,0,0,0,0,98,2,1
v0.12.0,scipy/lib/_util.py,0,0,0,0,0,0,0,0,0,0,16,1,0
v0.12.0,scipy/lib/setup.py,0,0,0,0,0,0,0,0,0,0,10,2,0
v0.12.0,scipy/ndimage/tests/test_filters.py,0,0,0,0,0,0,0,0,0,0,38,1,0
v0.12.0,scipy/weave/examples/tuple_return.py,0,0,0,0,0,0,0,0,0,0,31,2,0
v0.12.0,scipy/io/harwell_boeing/hb.py,1,2,0,0,0,0,0,0,0,0,330,6,0
v0.12.0,scipy/io/mmio.py,0,2,0,0,1,0,0,0,0,0,382,15,0
v0.12.0,scipy/weave/size_check.py,0,1,0,0,0,0,0,0,0,0,201,10,0
v0.12.0,scipy/lib/lapack/scons_support.py,0,0,0,0,0,0,0,0,0,0,20,1,0
v0.12.0,scipy/stats/tests/test_continuous_basic.py,3,0,0,0,0,0,0,0,0,0,268,48,2
v0.12.0,scipy/optimize/nonlin.py,7,1,0,0,0,0,1,0,0,0,704,7,1
v0.12.0,scipy/stats/tests/test_rank.py,0,0,0,0,0,0,0,0,0,0,104,1,0
v0.12.0,scipy/ndimage/interpolation.py,0,1,0,0,0,0,0,0,0,0,262,7,0
v0.12.0,scipy/weave/examples/swig2_example.py,0,0,0,0,0,0,0,0,0,0,17,2,0
v0.12.0,scipy/weave/tests/test_numpy_scalar_spec.py,0,0,0,0,0,0,0,0,0,0,113,6,0
v0.12.0,scipy/lib/blas/setup.py,0,0,0,0,0,0,0,0,1,0,63,11,0
v0.12.0,scipy/stats/vonmises.py,0,0,0,0,0,0,0,0,0,0,36,3,0
v0.12.0,scipy/io/harwell_boeing/setup.py,0,0,0,0,0,0,0,0,0,0,9,1,0
v0.12.0,scipy/sparse/tests/test_extract.py,0,0,0,0,0,0,0,0,0,0,36,2,0
v0.12.0,scipy/special/generate_ufuncs.py,2,2,0,0,0,0,0,0,0,0,361,7,1
v0.12.0,scipy/sparse/linalg/isolve/tests/demo_lgmres.py,0,0,0,0,0,0,0,0,0,0,46,2,0
v0.12.0,scipy/linalg/decomp.py,1,4,0,0,0,0,0,0,0,0,313,4,0
v0.12.0,scipy/odr/tests/test_odr.py,0,1,0,0,0,0,0,0,0,0,250,8,0
v0.12.0,scipy/weave/tests/test_ast_tools.py,0,0,0,0,0,0,0,0,0,0,18,0,0
v0.12.0,scipy/special/orthogonal.py,0,0,0,0,0,0,4,0,0,0,381,10,1
v0.12.0,doc/source/tutorial/examples/normdiscr_plot2.py,0,0,0,0,0,0,0,0,0,0,41,1,0
v0.12.0,scipy/optimize/tests/test_regression.py,0,0,0,0,0,0,0,0,0,0,17,3,0
v0.12.0,scipy/weave/md5_load.py,0,0,0,0,0,0,0,0,0,0,6,1,0
v0.12.0,scipy/sparse/linalg/dsolve/linsolve.py,0,1,0,0,0,0,0,0,0,0,133,7,0
v0.12.0,scipy/stats/setupscons.py,0,0,0,0,0,0,0,0,0,0,11,2,0
v0.12.0,scipy/optimize/tests/test__root.py,0,0,0,0,0,0,0,0,0,0,27,2,0
v0.12.0,scipy/sparse/csgraph/_validation.py,0,0,0,0,0,0,0,0,0,0,42,1,0
v0.12.0,scipy/linalg/flapack.py,0,0,0,0,0,0,0,0,0,0,7,3,0
v0.12.0,scipy/special/setupscons.py,0,0,0,0,0,0,0,0,0,0,14,2,0
v0.12.0,scipy/sparse/csgraph/setup.py,0,0,0,0,0,0,0,0,0,0,21,0,0
v0.12.0,scipy/sparse/compressed.py,1,2,0,0,1,0,0,0,0,0,415,34,1
v0.12.0,scipy/sparse/csgraph/__init__.py,0,0,0,0,0,0,0,0,0,0,34,0,0
v0.12.0,scipy/sparse/base.py,0,0,0,0,1,0,0,0,0,0,354,30,2
v0.12.0,scipy/signal/tests/test_signaltools.py,0,0,0,0,0,0,0,0,0,0,587,11,1
v0.12.0,scipy/optimize/anneal.py,0,1,0,0,0,0,1,0,0,0,230,2,1
v0.12.0,scipy/signal/filter_design.py,1,6,0,0,0,0,0,0,0,0,1053,3,0
