tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v0.15.0,scipy/sparse/sputils.py,0,2,0,0,0,0,0,0,0,0,255,0,0
v0.15.0,doc/source/tutorial/examples/newton_krylov_preconditioning.py,0,0,0,0,0,0,0,0,0,0,60,0,0
v0.15.0,scipy/sparse/linalg/isolve/tests/test_iterative.py,0,1,0,0,0,0,0,0,0,0,239,0,0
v0.15.0,tools/win32/build_scripts/pavement.py,1,0,0,0,0,0,0,0,0,0,209,0,0
v0.15.0,scipy/sparse/csgraph/tests/test_shortest_path.py,0,0,0,0,0,0,0,0,0,0,157,0,0
v0.15.0,scipy/stats/_multivariate.py,3,1,0,0,0,0,0,0,0,0,285,0,0
v0.15.0,scipy/interpolate/fitpack.py,1,3,0,0,0,0,0,0,0,0,480,2,0
v0.15.0,scipy/sparse/linalg/tests/test_expm_multiply.py,0,0,0,0,0,0,0,0,0,0,198,0,0
v0.15.0,scipy/interpolate/interpolate_wrapper.py,0,0,0,0,0,0,0,0,0,0,73,1,0
v0.15.0,scipy/integrate/odepack.py,0,0,0,0,0,0,0,0,0,0,37,1,0
v0.15.0,scipy/sparse/linalg/benchmarks/bench_onenormest.py,0,1,0,0,0,2,0,0,0,0,43,1,0
v0.15.0,scipy/sparse/benchmarks/bench_sparse.py,1,5,0,0,0,0,0,0,0,0,280,1,0
v0.15.0,scipy/weave/standard_array_spec.py,0,0,0,0,0,0,0,0,0,0,73,0,0
v0.15.0,scipy/io/matlab/tests/test_byteordercodes.py,0,0,0,0,0,0,0,0,0,0,23,0,0
v0.15.0,scipy/stats/rv.py,0,0,0,0,0,0,0,0,0,0,21,1,0
v0.15.0,scipy/sparse/linalg/isolve/tests/test_utils.py,0,0,0,0,0,0,0,0,0,0,6,0,0
v0.15.0,scipy/linalg/tests/test_procrustes.py,0,0,0,0,0,0,0,0,0,0,122,0,0
v0.15.0,scipy/sparse/spfuncs.py,0,1,0,0,0,0,0,0,0,0,51,0,0
v0.15.0,scipy/spatial/distance.py,1,5,0,0,0,0,0,0,0,0,757,7,0
v0.15.0,scipy/weave/tests/test_c_spec.py,0,1,0,0,0,0,0,0,0,0,502,0,0
v0.15.0,scipy/sparse/linalg/tests/test_onenormest.py,0,2,0,0,0,0,0,0,0,0,181,0,0
v0.15.0,scipy/integrate/tests/test_quadpack.py,7,0,0,0,0,0,0,0,0,0,259,2,1
v0.15.0,scipy/stats/_distr_params.py,0,0,0,0,0,0,0,0,0,0,108,2,0
