subject,file,lineno,NBC,experience-based,statistics-based,tuning machine
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter.py,18,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_change.py,16,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_change.py,44,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_change.py,56,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_compare.py,10,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_compare.py,35,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_compare.py,47,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_compare.py,64,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_compare.py,71,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_compare.py,78,1,0,0,0
GitGutter,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\GitGutter\git_gutter_events.py,34,1,0,0,0
