subject,file,lineno,PAR,experience-based,statistics-based,tuning machine
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\dev_utils\ast_inspector.py,13,2,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\error_demo.py,15,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\error_demo.py,41,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\force_start_demo.py,9,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\language_demo_japanese.py,33,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\language_demo_japanese.py,49,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\language_demo_japanese.py,52,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\language_demo_russian.py,17,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\language_demo_russian.py,44,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\language_demo_russian.py,47,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\minimal_demo.py,4,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\subparser_demo.py,13,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\widget_demo.py,30,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\widget_demo.py,57,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\examples\__init__.py,27,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\application.py,20,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\application.py,46,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\application.py,60,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\application.py,71,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\application.py,81,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\chooser_runner.py,9,2,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\component_builder.py,10,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\component_builder.py,25,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\component_builder.py,29,2,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,30,3,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,45,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,48,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,52,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,55,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,58,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,68,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,77,2,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,82,3,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,90,2,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,99,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,102,1,0,0,0
Gooey,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Gooey\gooey\gui\controller.py,108,1,0,0,0
