subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,224,36,2,8,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,228,30,2,6,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,245,36,2,8,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,247,30,2,6,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,265,45,1,10,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,375,77,1,16,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,416,77,1,16,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,530,106,1,20,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\cert_util.py,549,29,1,6,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\check_ip.py,235,58,2,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\direct_handler.py,47,46,1,11,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,103,68,2,14,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,211,68,2,14,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,214,59,2,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,261,40,1,11,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,490,51,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,492,79,1,14,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\gae_handler.py,573,45,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\pac_server.py,194,28,1,5,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\pac_server.py,233,55,1,7,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\pac_server.py,247,64,1,7,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\pac_server.py,254,62,1,7,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\pac_server.py,260,62,1,7,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\pac_server.py,266,56,1,7,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy.py,107,20,1,3,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy.py,161,33,2,8,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy.py,163,48,1,5,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy.py,164,41,2,8,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy_handler.py,93,45,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy_handler.py,238,25,1,4,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\proxy_handler.py,242,28,1,4,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\local\simple_http_server.py,231,38,1,11,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\uploader.py,148,52,1,10,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\gae\gae.py,104,50,1,13,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\gae\gae.py,153,124,2,25,1,0,1
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\gae\gae.py,183,82,1,9,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\gae\wsgi.py,179,90,2,21,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\gae\wsgi.py,204,82,1,9,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\gae\wsgi.py,282,91,2,18,1,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\fancy_urllib\__init__.py,110,57,2,14,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\fancy_urllib\__init__.py,113,63,2,18,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,116,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,216,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,316,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,414,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,512,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,612,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\api_base_pb.py,680,49,1,12,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\appinfo.py,633,63,1,10,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\appinfo.py,867,40,1,5,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\appinfo.py,883,88,2,10,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\backendinfo.py,145,50,1,9,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\validation.py,137,48,1,6,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\validation.py,369,51,1,9,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\validation.py,528,46,1,13,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\api\validation.py,988,36,1,5,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\tools\appcfg.py,414,43,1,10,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\tools\appcfg.py,1791,53,1,11,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\tools\appcfg.py,2239,30,1,6,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\tools\appcfg.py,3215,29,1,8,0,0,0
XX-Net,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\XX-Net\gae_proxy\server\lib\google\appengine\tools\appcfg.py,3383,381,1,36,1,1,1
