subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\atcd\access_manager.py,151,97,2,15,1,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\atcd\access_manager.py,166,97,2,15,1,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\atcd\AtcdThriftHandlerTask.py,271,52,1,8,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\atcd\AtcdThriftHandlerTask.py,732,102,2,18,1,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\tests\test_AtcdVService.py,25,32,1,6,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\tests\test_AtcdVService.py,31,32,1,6,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atcd\tests\test_sqlite_manager.py,101,52,1,8,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,805,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,878,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,939,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1012,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1073,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1146,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1207,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1279,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1352,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1425,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1486,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1559,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1601,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1643,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1704,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1785,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1827,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1895,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1937,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,1996,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2068,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2128,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2202,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2261,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2321,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2389,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2449,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\Atcd.py,2517,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,147,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,219,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,303,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,375,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,531,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,605,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,677,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,750,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,836,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,908,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,983,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,1046,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,1130,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,1227,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\atc_thrift\atc_thrift\ttypes.py,1311,64,1,12,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-api\setup.py,33,111,2,19,1,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-api\setup.py,43,159,2,30,1,1,1
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-api\setup.py,49,51,1,8,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-demo-ui\setup.py,40,111,2,19,1,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-demo-ui\setup.py,50,159,2,30,1,1,1
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-demo-ui\setup.py,56,51,1,8,0,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-profile-storage\setup.py,33,111,2,19,1,0,0
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-profile-storage\setup.py,43,159,2,30,1,1,1
augmented-traffic-control,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\augmented-traffic-control\atc\django-atc-profile-storage\setup.py,49,51,1,8,0,0,0
