subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,55,5,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,62,11,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,79,5,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,86,0,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,89,1,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,92,1,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,95,11,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,114,57,1,1,1
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,224,11,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,246,10,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,269,11,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,290,82,1,1,1
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,408,50,1,1,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,481,15,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,501,12,0,0,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,523,38,1,1,0
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\bees.py,576,94,1,1,1
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\main.py,34,54,1,1,1
beeswithmachineguns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\beeswithmachineguns\beeswithmachineguns\main.py,176,0,0,0,0
