subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,5,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,6,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,7,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,21,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,22,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,23,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,24,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,30,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,57,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,59,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,84,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,86,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,88,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,90,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,91,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,93,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,94,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,94,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,96,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,100,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,100,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,108,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,111,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,111,1,,,0,0,0
bup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bup\main.py,112,1,,,0,0,0
