subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\apps\registry.py,95,57,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\apps\registry.py,97,54,2,10,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\apps\registry.py,228,53,1,9,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\apps\registry.py,298,54,1,6,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\apps\registry.py,305,97,2,14,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,49,138,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,100,85,1,11,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,114,122,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,151,120,1,15,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,162,117,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,234,135,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,247,139,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,275,194,1,24,1,1,1
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,348,239,1,26,1,1,1
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,393,135,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,419,123,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,463,144,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,535,108,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,577,123,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,649,143,1,15,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,673,120,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\checks.py,765,126,1,17,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\filters.py,294,63,2,13,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\helpers.py,37,130,2,18,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\helpers.py,39,27,1,5,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\helpers.py,79,40,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\helpers.py,95,93,1,16,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\helpers.py,113,76,2,14,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,411,81,2,12,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,416,60,1,6,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,575,39,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,620,63,2,10,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,780,49,1,6,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,787,53,1,11,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,893,67,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,896,56,1,8,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\options.py,1774,39,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\sites.py,418,69,2,14,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\utils.py,37,28,1,4,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\utils.py,165,49,1,6,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,35,42,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,61,42,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,74,42,1,7,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,105,28,1,6,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,131,15,1,5,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,170,42,1,11,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\widgets.py,217,26,1,5,0,0,0
