subject,file,lineno,NOC,PAR,NOO,experience-based,statistics-based,tuning machine
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\apps\registry.py,247,24,1,5,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\conf\global_settings.py,6,9,1,1,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\conf\__init__.py,177,13,1,1,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\filters.py,224,22,1,2,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\filters.py,260,67,1,8,1,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\filters.py,288,23,1,4,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\filters.py,351,38,1,5,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\filters.py,410,12,1,1,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\helpers.py,31,17,1,1,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\sites.py,484,25,1,5,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\sites.py,488,17,1,3,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\sites.py,517,17,1,3,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\tests.py,53,44,1,6,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\templatetags\admin_list.py,146,46,2,10,0,0,0
django,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django\django\contrib\admin\templatetags\admin_list.py,346,58,1,6,0,0,0
