subject,file,lineno,NBC,experience-based,statistics-based,tuning machine
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\docs\flaskext.py,7,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\app.py,68,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\blueprints.py,17,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\blueprints.py,79,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\cli.py,22,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\cli.py,101,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\cli.py,155,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\cli.py,236,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\cli.py,265,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\config.py,21,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\config.py,40,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\ctx.py,28,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\ctx.py,158,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\ctx.py,207,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\debughelpers.py,17,2,0,1,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\debughelpers.py,23,2,0,1,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\debughelpers.py,47,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\debughelpers.py,80,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\exthook.py,27,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\helpers.py,750,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\helpers.py,776,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\json.py,52,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\json.py,86,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\logging.py,59,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\logging.py,65,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\logging.py,70,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\sessions.py,28,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\sessions.py,82,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\sessions.py,112,2,0,1,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\sessions.py,122,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\sessions.py,137,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\sessions.py,293,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\templating.py,33,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\templating.py,46,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\testing.py,39,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\views.py,19,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\views.py,105,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\views.py,123,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\wrappers.py,28,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\wrappers.py,194,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\_compat.py,61,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\flask\_compat.py,74,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\scripts\flaskext_compat.py,23,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\scripts\flaskext_tester.py,118,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\conftest.py,50,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_appctx.py,119,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_basic.py,257,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_basic.py,791,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_basic.py,810,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_basic.py,1087,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_basic.py,1577,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_blueprints.py,62,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_blueprints.py,64,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_blueprints.py,189,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_config.py,76,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_config.py,79,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_config.py,154,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_config.py,157,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_deprecations.py,17,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,32,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,167,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,170,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,175,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,197,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,286,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,350,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,440,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,468,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,584,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,605,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,624,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_helpers.py,659,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_instance_config.py,126,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_regression.py,25,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_regression.py,82,1,0,0,0
flask,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\flask\tests\test_subclassing.py,19,1,0,0,0
