subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\update_project.py,27,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\update_project.py,51,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\update_project.py,55,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\update_project.py,56,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\build.py,16,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\build.py,16,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,153,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,160,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,195,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,195,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,195,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,195,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,196,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,196,2,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,197,2,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,197,2,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,198,2,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,198,2,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,199,2,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,200,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,202,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,202,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,203,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,204,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,205,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,205,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,206,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,207,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,207,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,208,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,210,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,211,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,213,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,215,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,218,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,224,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,225,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,230,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,231,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,257,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,266,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,271,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,272,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,274,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,275,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,277,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,278,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,279,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,280,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,284,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,292,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,292,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,292,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,293,1,,,0,0,0
iOS-Universal-Framework,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\iOS-Universal-Framework\devel\src\BuildFW.py,298,1,,,0,0,0
