subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\setup.py,14,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,59,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,59,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,65,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,107,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,116,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,118,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,123,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,124,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,128,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,128,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,161,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,161,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,163,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,164,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,165,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\addition_rnn.py,166,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\babi_rnn.py,106,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\babi_rnn.py,134,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\babi_rnn.py,135,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\babi_rnn.py,137,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\babi_rnn.py,137,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,37,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,39,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,40,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,111,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,114,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,114,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,118,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,121,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\cifar10_cnn.py,121,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\imdb_cnn.py,34,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\imdb_lstm.py,39,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\kaggle_otto_nn.py,45,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\kaggle_otto_nn.py,45,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\kaggle_otto_nn.py,48,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\kaggle_otto_nn.py,48,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\kaggle_otto_nn.py,89,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\kaggle_otto_nn.py,92,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,38,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,39,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,47,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,47,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,48,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,48,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,48,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,84,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,92,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,92,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,94,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,96,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\lstm_text_generation.py,99,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,35,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,37,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,38,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,44,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,45,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,73,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_cnn.py,74,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,40,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,42,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,43,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,49,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,50,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,72,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,73,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,87,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_irnn.py,88,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_mlp.py,24,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_mlp.py,32,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_mlp.py,33,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_mlp.py,54,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\mnist_mlp.py,55,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\reuters_mlp.py,26,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\reuters_mlp.py,58,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\reuters_mlp.py,59,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,66,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,83,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,135,,2,1,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,151,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,151,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,156,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,167,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,173,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,174,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,174,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,174,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\examples\skipgram_word_embeddings.py,181,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\activations.py,6,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,101,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,102,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,107,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,113,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,122,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,124,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,125,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,127,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,130,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,134,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,136,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,138,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,158,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,160,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,166,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,167,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,171,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,172,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,246,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,248,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,253,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,256,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\callbacks.py,258,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,10,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,10,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,11,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,11,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,63,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,63,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,69,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,69,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,69,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,73,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,73,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\initializations.py,76,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\models.py,32,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\models.py,33,1,,,0,0,0
keras,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\keras\keras\models.py,55,1,,,0,0,0
