subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\setup.py,67,,2,1,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\doc\conf.py,241,,2,1,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\doc\conf.py,271,,3,1,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\doc\conf.py,285,,2,1,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\ftp_experiment_outputs.py,92,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\ftp_experiment_outputs.py,93,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\ssh_remote_execution.py,78,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\ssh_remote_execution.py,79,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\ssh_remote_execution.py,83,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\top_artists.py,132,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\top_artists.py,266,,2,1,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\examples\wordcount.py,74,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\luigi\cmdline.py,13,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\luigi\cmdline.py,17,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\luigi\cmdline_parser.py,126,,2,1,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\luigi\configuration.py,52,1,,,0,0,0
luigi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\luigi\luigi\date_interval.py,204,1,,,0,0,0
