subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,26,41,2,8,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,186,29,1,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,187,42,2,8,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,206,27,1,5,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,232,30,1,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,259,60,2,10,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,265,39,2,8,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,287,31,1,5,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,292,31,1,5,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,299,58,1,9,0,0,0
