subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,31,14,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,54,10,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,75,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,90,24,1,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,125,7,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\config_parser.py,140,4,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,116,8,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,130,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,143,4,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,154,3,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,163,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,173,1,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,177,1,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,181,1,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,185,9,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,201,7,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,210,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,218,16,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,237,8,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,247,3,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,256,9,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,271,35,1,1,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,313,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,324,8,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,331,7,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,345,21,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\ngxtop.py,373,12,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\utils.py,4,12,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\ngxtop\utils.py,19,1,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\tests\test_config_parser.py,4,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\tests\test_config_parser.py,22,6,0,0,0
ngxtop,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\ngxtop\tests\test_config_parser.py,48,6,0,0,0
