subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,546,31,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,62,38,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,95,33,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,116,40,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,221,93,1,15,1,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,252,76,2,16,1,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,293,48,2,8,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,309,42,2,8,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,321,41,2,8,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,351,44,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,472,54,2,9,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,498,107,4,17,1,1,1
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,290,27,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,302,26,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,310,26,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,371,26,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgstyle.py,19,55,1,11,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\expanded.py,7,21,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\expanded.py,12,39,1,8,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\expanded.py,16,29,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,80,23,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\parseutils.py,82,47,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\parseutils.py,212,38,1,9,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\parseutils.py,227,38,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\sqlcompletion.py,253,37,2,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\sqlcompletion.py,300,37,2,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\sqlcompletion.py,308,31,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,109,66,1,11,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,120,74,1,18,1,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,131,97,1,17,1,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,138,38,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,151,53,1,9,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,444,24,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,447,24,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,450,29,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,452,64,1,14,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,458,24,1,5,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,467,46,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,498,37,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,578,44,1,13,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,619,28,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,623,30,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,629,36,2,9,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,629,22,1,6,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,892,54,1,9,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,902,73,2,16,1,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,902,42,1,8,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,906,58,2,10,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,907,40,1,7,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,908,80,1,15,1,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,915,60,1,15,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\tabulate.py,916,71,1,14,1,0,0
