subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,542,42,2,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,551,56,1,13,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,1056,37,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,1182,54,2,10,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,1207,47,2,10,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,2661,50,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,2693,52,1,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,2842,46,1,8,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,2852,23,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,2858,23,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3005,88,1,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3124,42,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3129,42,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3229,55,2,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3300,36,1,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3307,25,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3419,28,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3505,78,2,17,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3508,62,2,12,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\autopep8.py,3536,34,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\environment.py,59,57,1,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\environment.py,132,55,1,12,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\environment.py,158,18,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\environment.py,186,33,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\lint.py,52,33,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\lint.py,81,21,1,4,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\rope.py,88,60,2,17,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\rope.py,711,16,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\rope.py,732,35,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\rope.py,735,27,2,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\run.py,62,55,2,10,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\run.py,65,27,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\run.py,70,54,1,16,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\run.py,80,23,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\mccabe.py,86,33,1,8,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,80,32,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,103,67,1,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,516,55,2,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,525,100,1,14,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,694,33,2,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,753,57,1,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,917,71,2,13,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,953,32,2,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,1041,47,2,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep257.py,1059,54,2,12,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,894,48,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1262,40,1,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1269,100,2,20,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1299,47,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1680,65,2,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1691,111,2,21,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1897,45,1,8,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,1912,52,1,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,2001,46,1,8,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,2015,53,1,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\pep8.py,2076,45,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\six.py,130,42,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\astpeephole.py,80,52,1,10,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,82,48,3,10,1,1,1
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,82,27,1,6,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,109,34,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,126,42,1,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,136,35,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,146,32,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,164,55,1,13,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,170,39,2,9,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,184,42,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,197,38,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,201,75,1,16,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,208,37,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,250,35,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,276,37,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,314,39,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,319,37,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,324,31,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,336,33,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,369,39,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,374,37,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,407,39,1,7,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\as_string.py,427,100,1,22,1,0,1
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\bases.py,277,42,1,11,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\manager.py,129,86,1,19,1,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\modutils.py,254,48,2,13,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\modutils.py,261,48,2,13,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\node_classes.py,552,60,1,13,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\node_classes.py,729,28,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\node_classes.py,796,28,1,5,0,0,0
python-mode,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-mode\pymode\libs\astroid\node_classes.py,872,28,1,5,0,0,0
