subject,file,lineno,CLOC,experience-based,statistics-based,tuning machine
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,150,3,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,201,1,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,202,2,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,227,1,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,346,8,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,400,24,1,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,658,54,1,0,1
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,1126,18,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,1620,1,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,1621,1,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,1738,5,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,1896,6,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,1979,5,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,2146,20,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\sh.py,2277,5,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\test.py,60,97,1,1,1
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\test.py,206,3,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\test.py,1659,3,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\test.py,1690,3,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\test.py,1866,5,0,0,0
sh,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\sh\test.py,1927,4,0,0,0
