subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\setup.py,24,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\setup.py,24,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,243,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,271,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,272,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,308,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,336,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,337,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,370,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,503,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,654,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,656,2,0,0,0
speedtest-cli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\speedtest-cli\speedtest_cli.py,716,2,0,0,0
