subject,file,lineno,NBC,experience-based,statistics-based,tuning machine
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_conf.py,27,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_conf.py,54,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_conf.py,77,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_corrector.py,8,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_shells.py,25,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_shells.py,59,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_shells.py,111,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_shells.py,184,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_types.py,10,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_types.py,23,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_types.py,83,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_ui.py,55,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_utils.py,39,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_utils.py,123,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_utils.py,132,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\test_utils.py,187,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\utils.py,5,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\utils.py,10,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\tests\utils.py,22,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\conf.py,42,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\exceptions.py,1,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\exceptions.py,5,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\shells.py,15,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\shells.py,79,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\shells.py,119,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\shells.py,176,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\shells.py,214,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\types.py,13,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\types.py,118,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\types.py,232,1,0,0,0
thefuck,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\thefuck\thefuck\ui.py,53,1,0,0,0
