subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,93,97,1,19,1,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,94,96,1,18,1,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\cli.py,115,33,2,7,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,243,45,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,250,45,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,257,45,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,264,45,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,271,45,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,314,45,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\demos\cli\layer.py,361,54,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\__init__.py,147,34,1,4,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\__init__.py,192,33,1,6,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\auth\protocolentities\stream_features.py,11,52,1,6,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\auth\protocolentities\stream_features.py,17,42,1,6,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\axolotl\store\sqlite\liteprekeystore.py,30,53,1,7,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\axolotl\store\sqlite\litesessionstore.py,30,18,1,5,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_contacts\protocolentities\iq_sync_get.py,57,64,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_contacts\protocolentities\iq_sync_get.py,71,37,1,4,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_contacts\protocolentities\iq_sync_result.py,55,90,1,15,1,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_contacts\protocolentities\iq_sync_result.py,56,89,1,15,1,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_contacts\protocolentities\iq_sync_result.py,57,71,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_contacts\protocolentities\iq_sync_result.py,85,50,1,6,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_groups_create.py,27,89,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_groups_leave.py,24,68,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_groups_leave.py,38,80,1,11,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_groups_participants.py,26,89,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_groups_participants_add_success.py,26,106,1,11,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_groups_participants_remove_success.py,26,109,1,11,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_result_participants_list.py,30,89,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_groups\protocolentities\iq_result_participants_list.py,43,63,1,8,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_messages\protocolentities\message_text_broadcast.py,16,53,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_messages\protocolentities\message_text_broadcast.py,25,87,1,11,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_messages\protocolentities\test_message_text_broadcast.py,10,48,1,8,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_profiles\protocolentities\iq_pictures_list.py,23,55,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_profiles\protocolentities\iq_pictures_list.py,32,86,1,11,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_receipts\protocolentities\receipt_outgoing.py,63,60,1,9,0,0,0
yowsup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\yowsup\yowsup\layers\protocol_receipts\protocolentities\receipt_outgoing.py,81,45,1,7,0,0,0
