subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\views.py,40,62,2,15,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\views.py,40,20,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\views.py,80,43,1,11,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\views.py,823,29,1,4,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\management\commands\realm_stats.py,26,202,1,12,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\management\commands\realm_stats.py,98,60,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\management\commands\realm_stats.py,128,30,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\management\commands\realm_stats.py,137,35,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\management\commands\realm_stats.py,144,37,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\analytics\management\commands\realm_stats.py,150,35,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\setup.py,19,33,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\hg\zulip-changegroup.py,81,37,1,3,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\hg\zulip-changegroup.py,130,52,1,10,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\hg\zulip-changegroup.py,137,52,1,10,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,362,29,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,766,43,2,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,940,44,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,1553,69,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,1842,67,2,11,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,1938,56,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,1945,52,2,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,1949,50,2,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2008,50,2,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2193,49,1,11,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2252,59,2,10,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2295,50,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2323,34,1,6,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2334,45,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2374,44,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,2677,47,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\api\integrations\perforce\git_p4.py,3112,32,1,6,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\irc-mirror.py,35,82,2,14,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,252,47,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,253,37,2,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,257,47,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,258,37,2,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,264,41,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,265,37,2,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,269,41,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\jabber_mirror_backend.py,270,37,2,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\summarize_stream.py,9,40,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\summarize_stream.py,25,22,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\zephyr_mirror_backend.py,374,67,1,17,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\zephyr_mirror_backend.py,598,88,1,18,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\zephyr_mirror_backend.py,645,102,1,13,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\zephyr_mirror_backend.py,719,74,1,12,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\bots\zephyr_mirror_backend.py,793,48,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\tools\deprecated\finbot\money.py,108,50,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\tools\emoji_dump\emoji_dump.py,28,24,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\middleware.py,105,64,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\middleware.py,164,45,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,75,239,1,22,1,0,1
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,409,36,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,630,49,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,1032,65,2,12,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,1101,21,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,1118,115,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\models.py,1192,141,1,17,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\tests.py,375,50,2,10,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\tests.py,430,50,2,10,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\tests.py,491,50,2,10,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_events.py,234,40,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_events.py,235,41,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_events.py,236,40,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_events.py,238,39,1,8,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_messages.py,390,88,2,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_messages.py,412,40,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_messages.py,524,53,1,11,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_messages.py,813,20,1,5,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_messages.py,815,137,2,20,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_messages.py,1001,72,1,15,1,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_signup.py,125,33,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_signup.py,247,43,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_signup.py,276,39,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,229,62,2,12,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,257,55,1,11,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,416,21,1,4,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,642,63,1,9,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,667,48,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,964,33,1,7,0,0,0
zulip,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\zulip\zerver\test_subs.py,983,33,1,7,0,0,0
