ID,Title,Created At,Closed At
20174,EC2_EIP module: on reuse_existing_ip_allowed: True trying to associate the same IP for all hosts in group,2017-01-12T11:45:55Z,
20172,Module 'user' adds accounts to system when using 'expires=' if the user does not exist,2017-01-12T11:12:37Z,
20171,"Network modules: eos_config, ios_config,  nxos_config (and possibly others)",2017-01-12T11:00:33Z,2017-01-12T13:43:07Z
20169,Role dependency is run multiple times,2017-01-12T09:51:42Z,
20157,Vulnerability needs to be addressed but Latest RC instructs not to use ,2017-01-11T21:57:22Z,2017-01-11T22:20:20Z
20150,Copy module with base64-encoded binary file adds extra character,2017-01-11T20:59:25Z,
20142,Ansible 2.2 Fetch Module Broken,2017-01-11T16:12:58Z,
20139,zypper module with 'update_cache=yes' fails in check_mode,2017-01-11T15:27:43Z,2017-01-11T18:47:17Z
20135,"In Ansible 2.2, dynamic inventory variables now override inventory group_var variables",2017-01-11T14:58:50Z,
20131,net_command on junos will fail if connecting as root,2017-01-11T13:49:20Z,
20129,become: True is not inherited in role includes below 1 level,2017-01-11T12:42:41Z,
20128,remote_tmp filling up when using copy module on remote host or using the shell module with the async option,2017-01-11T12:39:30Z,
20127,find module doesn't recognize symlinks correctly,2017-01-11T11:54:23Z,2017-01-11T11:54:46Z
20126,known_hosts module reporting 'changed' incorrectly,2017-01-11T11:47:58Z,
20120,ec2_group rules_egress,2017-01-11T05:32:04Z,
20119,Role dependencies are not run when running playbook with --tags that specify tagged tasks within role,2017-01-11T05:09:12Z,
20117,"Using synchronize, docker connection and become fails",2017-01-11T04:42:54Z,2017-01-11T22:01:11Z
20111,ec2_elb_lb is not always idempotent when updating healthchecks,2017-01-11T01:42:03Z,
20110,Deleting elasticache cluster on redis throws TypeError #3049,2017-01-11T01:41:00Z,
20109,s3 module is not idempotent for bucket creation (fails when bucket already exists),2017-01-11T01:40:06Z,
20106,vmware_guest state: poweredon/poweredoff/restarted doesn't do anything,2017-01-10T23:13:37Z,
20102,Service restart on Solaris 10 broken,2017-01-10T18:38:49Z,
20100,Ansible SSH connections drop mid task,2017-01-10T17:31:44Z,2017-01-12T08:19:37Z
20098,Exception in safe_eval() on expr with jinja2 >= 2.9,2017-01-10T17:13:52Z,
20089,Templating error with jinja2 v2.9,2017-01-10T14:17:24Z,2017-01-10T14:24:43Z
20088,"When built from source, ansible --version errors with ""ImportError: No module named _text""",2017-01-10T14:16:59Z,2017-01-11T02:42:35Z
20085,docker_container task fail on exit code,2017-01-10T12:58:55Z,2017-01-11T03:37:59Z
20084,[regression] service fails to correctly determine whether a service is already running on non-systemd systems in 2.2.1rc3,2017-01-10T12:21:48Z,2017-01-10T16:52:53Z
20081,Git submodule support is broken.,2017-01-10T11:44:49Z,
20080,vmware_guest state fails with exception,2017-01-10T11:28:49Z,2017-01-10T16:18:51Z
20070,vmware_guest doesn't create a snapshot,2017-01-10T08:38:40Z,
20068,hosts added via add_host connect to localhost,2017-01-10T06:07:10Z,2017-01-11T18:33:38Z
20063,Jinja2 2.9+ breaks included template context,2017-01-09T21:48:02Z,
20062,adding multiple tags with ec2_vpc_dhcp_options is failing only in us-east-1 region,2017-01-09T20:18:38Z,
20043,Yum state=latest fails if package name or version is too long,2017-01-09T14:42:54Z,
20040,cs_iso:  state=absent does not poll the async job API,2017-01-09T14:23:57Z,2017-01-10T11:06:14Z
20038,vmware_guest error creating vm with customizations,2017-01-09T12:41:32Z,2017-01-11T23:29:42Z
20033,Iptables restart brakes current SSH connections,2017-01-09T10:57:35Z,
20032,Win_nssm module doesn't honour the order of the app_parameters,2017-01-09T10:46:41Z,
20028,"Core service module fail to stop services beginning with ""not, like notice service""",2017-01-09T08:35:26Z,2017-01-09T16:11:16Z
20024,Need more information on SSL exception. ,2017-01-09T03:55:10Z,2017-01-10T16:22:44Z
20015,msg: ERROR: 1049 Unknown database 'all',2017-01-08T11:34:52Z,2017-01-08T17:08:58Z
20012,Ansible Galaxy Init Fails in Python 3,2017-01-08T06:39:55Z,2017-01-10T16:35:10Z
20007,authorized_key: Crash when loading from Github by URL using Python 3.5,2017-01-07T17:02:32Z,2017-01-09T20:21:52Z
20006,winrm connection displaying InsecureRequestWarning,2017-01-07T15:33:30Z,2017-01-10T22:01:26Z
19990,"ios_config: Error while copying installer ""TemplateSyntaxError: unexpected char u'\ufffd' at 5231""",2017-01-06T21:20:43Z,2017-01-06T22:02:55Z
19988,win_msi: re-installing existing MSI file reports change,2017-01-06T20:49:02Z,2017-01-07T04:00:50Z
19985,Unarchive module URL src does not follow redirect,2017-01-06T20:00:10Z,2017-01-06T21:26:43Z
19978,"gce module fails with ""unsupported parameter for module: credentials_file""",2017-01-06T17:14:25Z,2017-01-08T03:11:28Z
19974,ecs_taskdefinition integer parameters do not auto-cast,2017-01-06T15:52:13Z,
19973,"uri changes the case of custom headers name (it captializes them) where curl (for example, or software like postman as well) does not",2017-01-06T14:21:33Z,
19972,ec2_eni doesn't honour description for uniqueness,2017-01-06T12:33:58Z,
19970,kinesis_stream module fails when EC2_URL env var is set,2017-01-06T11:16:55Z,
19968,postgresql_user emits traceback on missing relation,2017-01-06T09:26:30Z,
19967,Multithreading running  the playbook exception,2017-01-06T06:47:45Z,2017-01-06T15:30:31Z
19965,Connect to windows host timing out,2017-01-06T02:40:34Z,2017-01-06T11:07:52Z
19964,"""UnicodeEncodeError: 'ascii' codec can't encode..."" error, instead of actual ""Failed to set permissions on the temporary files..."" error",2017-01-06T01:39:44Z,2017-01-06T17:54:08Z
19961,ignore_errors not working in include module,2017-01-06T00:53:33Z,2017-01-06T01:14:58Z
19959,win_robocopy throw a exception when return_code is not 1||2||4 ,2017-01-06T00:40:38Z,2017-01-11T17:22:00Z
19956,jinja templating applied inconsistently,2017-01-05T23:11:44Z,
19939,nmcli: does not assemble the nmcli command properly,2017-01-05T15:52:47Z,
19930,Type error with python3 when using basic Authentication with open_url,2017-01-05T11:34:12Z,2017-01-05T18:16:31Z
19927,win_template: Returns 'changed' every time,2017-01-05T09:29:24Z,2017-01-05T13:56:10Z
19913,[ ansible 2.2.0 ] [ module setup ] the process is D+ state  at  openstack network node,2017-01-05T02:23:35Z,2017-01-05T04:38:34Z
19898,Ansible 2.2.0.0: Variables in handler names not populated,2017-01-04T22:49:30Z,
19895,"ec2_vpc doesn't wait for subnets to be created, errors out intermittently",2017-01-04T22:00:45Z,
19894,docker_container module doesn't match existing container when entrypoint is used,2017-01-04T21:23:43Z,
19893,Ansible docker_container not exposing ports (2.2.0.0),2017-01-04T21:22:06Z,
19890,lxc_container.py still uses lxc-clone for clones (it ought to use lxc-copy),2017-01-04T19:59:45Z,
19883,module: ini_file does not take care of file ending without a newline,2017-01-04T18:51:02Z,
19880,Error when pulling docker image from aws ecr,2017-01-04T17:39:12Z,
19877,Openstack os_user_role module can't looping over elements,2017-01-04T17:09:45Z,2017-01-06T01:13:08Z
19874,ansible_distribution_release missing on debian testing,2017-01-04T16:08:55Z,
19871,Error when calling multiple roles in multiple hosts from same playbook,2017-01-04T15:53:53Z,2017-01-09T10:27:01Z
19869,find paths doesn't use expanduser,2017-01-04T15:13:50Z,
19867,ansible-doc doesn't support ANSIBLE_METADATA in YAML ,2017-01-04T15:00:12Z,
19863,os_floating_ip returns OK but does not assign designated floating IP,2017-01-04T14:03:35Z,
19860,vmware_guest: Clone from template results in fault.NicSettingMismatch.summary,2017-01-04T12:31:58Z,2017-01-05T17:16:22Z
19858,Volumes do not get dropped when removing the docker container,2017-01-04T11:39:34Z,
19851,Ansible mangles integers in lists,2017-01-04T04:23:12Z,
19839,win_get_url not a valid attribute for a play,2017-01-03T22:02:27Z,2017-01-04T10:36:38Z
19838,pip creates bad virtualenv,2017-01-03T21:49:47Z,2017-01-05T19:45:08Z
19835,postgres_user module: `role_attr_flags` does nothing when combined with `no_password_changes`,2017-01-03T21:30:26Z,
