hash,tag,author,date,title
56de2e1,0.01,Michael DeHaan,2012-03-08 13:59:12,Update README.md
2e1b59a,0.0.1,Michael DeHaan,2012-03-13 19:27:13,restructure the examples directory
09e690f,0.0.2,Michael DeHaan,2012-04-03 20:20:55,Indentation error causing forks to not be parallel.  Ahem :)
4d62510,0.3,Michael DeHaan,2012-04-23 21:11:43,Version bump for 0.3 release
5a156d6,0.3.1,Michael DeHaan,2012-05-01 15:40:39,Merge pull request #286 from tbielawa/PkgReviewRetagFixes
9551afc,0.4,Michael DeHaan,2012-05-23 19:38:59,Update changelog for release.
f42b630,0.4.1,Michael DeHaan,2012-06-13 12:14:31,Merge pull request #470 from tbielawa/fixAuthor
22f3967,0.5,Michael DeHaan,2012-07-04 13:37:46,Bump dates in packaging files for release.
53c927f,0.6,Michael DeHaan,2012-08-06 21:17:58,changelog dates
2bf9a92,0.7,Michael DeHaan,2012-09-06 18:46:15,"Don't load plugins starting with ""_""."
e63f401,0.7.1,Michael DeHaan,2012-09-11 17:47:24,Bump version
6bb9814,0.7.2,Michael DeHaan,2012-10-10 08:09:18,update branch so 0.7.2 is buildable
e072271,0.8,Michael DeHaan,2012-10-19 20:46:59,Update packaging and CHANGELOG for release
0115d4b,v0.9,Michael DeHaan,2012-11-30 22:21:16,release process
6a64e9f,v1.0,Michael DeHaan,2013-02-01 21:27:00,Update changelog
2f944d8,v1.1,Michael DeHaan,2013-04-01 14:01:51,Merge pull request #2547 from jsmartin/cloudformation
f67c13f,v1.2,Michael DeHaan,2013-06-10 15:23:51,Update packaging dates in preparation for release.
bc03a29,v1.2.1,Michael DeHaan,2013-07-04 21:47:47,Update release versions for 1.2.1
90c8dcc,v1.2.2,Michael DeHaan,2013-07-05 22:05:05,Slight revisement to configuration file comment.
5d370bf,v1.2.3,James Cammarata,2013-08-21 12:06:26,Release bump to v1.2.3
507b78f,v1.3.0,Michael DeHaan,2013-09-13 17:31:34,"Update specfile -- no need for node fireball package, release dates"
cac9e02,v1.3.1,James Cammarata,2013-09-16 05:27:23,Version bump for 1.3.1 release
9d5d88b,v1.3.2,James Cammarata,2013-09-19 11:08:45,CHANGELOG update for the PTY patch inclusion
298d8d7,v1.3.3,James Cammarata,2013-10-07 14:00:49,Version bump for 1.3.3
8e3ba1f,v1.3.4,James Cammarata,2013-10-29 16:23:52,Version bump for 1.3.4
2a58c2b,v1.4.0,James Tanner,2013-11-21 15:11:16,Update files for 1.4 release
7bf799a,v1.4.1,Michael DeHaan,2013-11-27 18:13:21,Update files for 1.4.1 release.
42d9936,v1.4.2,James Tanner,2013-12-18 20:30:44,Add ansible-galaxy python dependencies
5f8a906,v1.4.3,James Tanner,2013-12-20 13:19:01,Update files for 1.4.3 release.
45dde5b,v1.4.4,James Tanner,2014-01-06 10:30:35,Update files for 1.4.4 release.
c4db9ba,v1.4.5,James Cammarata,2014-02-12 15:23:11,Update files for 1.4.5 release.
