id,summary,status,owner,type,component,version
24922,Templates: conflicting settings should emit a system check error,assigned,sergei-maertens,Bug,Core (System checks),master
24916,DjangoJSONEncoder: Decimal type localization mechanism is missing,closed,nobody,Bug,Core (Serialization),1.8
24913,Localize filter tag doesn't work for thousand separator then USE_L10N is False,closed,ana-balica,Bug,Internationalization,1.7
24912,prefetch_related fails with sqlite3 database and UUIDField primary keys,assigned,zedr,Bug,"Database layer (models, ORM)",master
24911,"QuerySet is initiated with model=None as kwarg, but is called in BaseManager.get_queryset() as arg.",new,nobody,Bug,"Database layer (models, ORM)",1.8
24910,createsuperuser in interactive mode assumes USERNAME_FIELD is unique,new,nobody,Bug,contrib.auth,1.8
24908,Overridden field in modelform used in modeladmin which name is returned by get_readonly_fields,new,nobody,Bug,contrib.admin,1.8
24906,ResolverMatch.app_name doesn't contain full application namespace for nested namespaces,assigned,knbk,Bug,Core (URLs),1.8
24904,reverse() doesn't allow for nested current_app namespaces,assigned,knbk,Bug,Core (URLs),1.8
24903,Backport assertRaisesMessage fix,assigned,timgraham,Bug,Testing framework,1.8
24902,Unapply squashed migration when any of the individual migrations are unapplied,closed,nobody,Bug,Migrations,1.8
24900,KeyError when trying to migrate to a replaced migration,new,nobody,Bug,Migrations,1.8
24898,QueryDict serialization into session,closed,nobody,Bug,Forms,1.8
24897,Choices longer than 1 day don't work with DurationField,closed,nobody,Bug,Forms,1.8
24895,Migration loader fails to load pair of squashed apps when dependent app's squashed migrations are partially applied,closed,carljm,Bug,Migrations,1.8
24893,Django migrations don't add unique constraint for field that is changed from primary_key to unique,closed,timgraham,Bug,Migrations,1.8
24892,"Django migrations don't escape uppercase table name in """" when using postgres backend when changing Integer  field to Auto field",closed,timgraham,Bug,Migrations,1.8
24889,Multi dotted path ImportError,closed,nobody,Bug,Core (Other),1.8
24879,"In the docs, models.QuerySet is used instead of models.query.QuerySet",closed,nobody,Bug,Documentation,1.8
24875,"inotify broken with vim, dev server does not restart",closed,nobody,Bug,Core (Management commands),master
24873,Error while using Prefech on more than two levels,assigned,Gagaro,Bug,"Database layer (models, ORM)",master
24871,Textarea widget has redundant \r\n,new,nobody,Bug,Forms,1.8
24869,Model unicode and Foreign key,closed,nobody,Bug,Uncategorized,1.8
24868,Invalid kwarg passed to technical_500_response() handling SuspiciousOperation in debug mode,closed,nobody,Bug,Core (URLs),1.8
24867,admin.E202 seems to include superclass references?,closed,nobody,Bug,contrib.admin,1.7
24860,Migrations leak stale RelatedManager related_model definitions,closed,nobody,Bug,Migrations,1.8
24856,raw_id_fields popup missing,closed,nobody,Bug,contrib.admin,1.8
24852,Related Field got invalid lookup: offer_ptr,closed,nobody,Bug,"Database layer (models, ORM)",1.7
24851,Regression in reverse one-to-one field in list_display,closed,timgraham,Bug,contrib.admin,1.8
24849,Broken squashmigration when model related to another one gets deleted,new,nobody,Bug,Migrations,1.8
24848,makemigrations fails with 'ValueError: Dependency on unknown app' when migrations module exists without __init__.py,closed,knbk,Bug,Migrations,1.8
24847,Items set on a RequestContext after creation get lost,closed,pwmarcz,Bug,Template system,1.8
24846,MySQL Migration SchemaEditor default code is ignorant of other blob/text data types,closed,adamchainz,Bug,Migrations,1.8
24844,HStore Form Field falsely report has_changed,closed,andreagrandi,Bug,contrib.postgres,1.8
24843,Mistake in French translation,closed,nobody,Bug,Internationalization,1.8
24842,Resets settings if before defining DATABASES use ugettext or ugettext_lazy,closed,nobody,Bug,Internationalization,1.6
24841,BaseRangeField should use base_field's prepare_value method,closed,unklphil,Bug,contrib.postgres,1.8
24836,force_text doesn't force SimpleLazyObject into a string,closed,nobody,Bug,Utilities,1.8
24835,exists() incorrect after annotation with Count(),closed,pwmarcz,Bug,"Database layer (models, ORM)",1.8
24834,Optional port in Host request header breaks get_current_site(),assigned,ngnpope,Bug,contrib.sites,1.5
24833,Annotation with `Case` can't be used with `exclude`,new,nobody,Bug,"Database layer (models, ORM)",1.8
24832,URLField validation isn't very strict,closed,nobody,Bug,"Database layer (models, ORM)",1.8
24831,Pickling querysets with prefetch_related breaks,closed,coldmind,Bug,"Database layer (models, ORM)",1.8
24826,file_storage.tests.FileFieldStorageTests.test_extended_length_storage fails when AUFS is in use,closed,nobody,Bug,File uploads/storage,1.8
24823,FileField with callable default raise error  with forms,closed,nobody,Bug,"Database layer (models, ORM)",1.8
24822,Autodetector crashes on add/removal of tzinfo from DateTimeField default,new,nobody,Bug,Migrations,1.8
24821,makemigrations generates long files names,closed,nobody,Bug,Migrations,1.8
24819,clearsessions deletes sessions that expire in the next hour,closed,nobody,Bug,contrib.sessions,1.8
24818,models.CharField shouldn't accept a string as max_length,closed,nobody,Bug,"Database layer (models, ORM)",1.8
24817,Renaming a model field that has null=False makes it nullable in MySQL,closed,coldmind,Bug,Migrations,1.8
24812,RuntimeWarning in schema tests about reloading models,closed,timgraham,Bug,Migrations,1.8
24809,Won't load templates from apps directory without a model,closed,nobody,Bug,Template system,1.8
24808,An error that occurs when 2 migrations happen to execute as the result of a single migrate command.,closed,nobody,Bug,Migrations,1.8
24807,Prefetch_related broken when two models have an M2M to the same model with related_name='+',closed,nobody,Bug,"Database layer (models, ORM)",1.8
24806,Fix catalan (ca) translation for login fail message in contrib.auth,closed,nobody,Bug,contrib.auth,1.7
24805,Improve makemessages error reporting for invalid locale path,closed,nobody,Bug,Internationalization,1.8
24804,META API: get_field method cache issue,closed,nobody,Bug,Core (Cache system),1.8
24803,Collected SQL does not respect empty strings as params when formatting result sql,new,nobody,Bug,"Database layer (models, ORM)",master
24801,AppConfigs aren't loaded when the application is in a nested directory,closed,nobody,Bug,Core (Other),master
24799,Cookie-backed sessions fail to flush with a custom SESSION_COOKIE_DOMAIN,closed,nobody,Bug,contrib.sessions,1.8
24798,Test failure in admin_views on master,closed,nobody,Bug,Testing framework,master
24795,Migrations fail to apply with postgis 2.0 on remote database,closed,nobody,Bug,GIS,1.8
24794,"RunPython parameter ""atomic"" is ineffective.",closed,nobody,Bug,Migrations,1.8
24791,Cannot run tests without access to postgres database,closed,nobody,Bug,Testing framework,1.8
24790,Migrations remove / add field after rename it,closed,nobody,Bug,Migrations,1.8
24789,Minor error in Customizing authentication in Django / Referencing the User model,closed,cdrice,Bug,Documentation,1.7
24785,render_to_string makes invalid call to template.render,closed,nobody,Bug,Template system,1.8
24784,Admin interface ForeignKey field select widget partially hidden in Firefox,closed,nobody,Bug,contrib.admin,1.8
24781,incorrect command in doc: Applications,new,nobody,Bug,Documentation,1.7
24780,custom-users-and-signals docs out of date,closed,nobody,Bug,Documentation,master
24779,django-1.8.1 fails test with pypy - FAIL: test_serialize_datetime_safe (migrations.test_writer.WriterTests),new,nobody,Bug,Migrations,1.8
24775,Template.render() throws exception when no language is activated,closed,nobody,Bug,Template system,1.8
24774,"Django sites framework, domain field unique",closed,piotrjakimiak,Bug,contrib.sites,1.8
24772,Equality testing of deferred instances,closed,nobody,Bug,"Database layer (models, ORM)",master
24770,Model instances are dropped by annotate when reverse foreign key is empty.,closed,nobody,Bug,"Database layer (models, ORM)",1.8
24768,"KeyError: u""Problem installing fixture '<filename>.json': u'manager'""",closed,nobody,Bug,"Database layer (models, ORM)",1.8
24766,annotation with Q object filters results,closed,nobody,Bug,"Database layer (models, ORM)",1.8
24765,Calling flatten on a Context object fails in some cases,new,nobody,Bug,Template system,1.8
24764,Using 'startswith' field lookup with F objects causes AttributeError,closed,nobody,Bug,"Database layer (models, ORM)",1.7
24763,Docs incorrectly state that DoesNotExist is in django.core.exceptions,closed,nobody,Bug,Documentation,1.8
24762,Proxy models with children which inherit from the proxy cannot select_related said children,new,nobody,Bug,"Database layer (models, ORM)",master
24760,Custom Aggregate: Return string (even if aggregate field is other type),closed,nobody,Bug,"Database layer (models, ORM)",1.7
24758,Incorrect docstring in Options.get_fields(),closed,nobody,Bug,Documentation,1.8
24757,Removing unique_together constraint make Django 1.8 migration fail with MySQL,closed,timgraham,Bug,Migrations,1.8
24756,Unexpected behavior of ModelForm.save for fields with blank=False and overridden required attribute,closed,nobody,Bug,Forms,1.8
24755,makemigrations --merge output is confusing when one head depends on another app,new,nobody,Bug,Migrations,1.8
24753,Reverse FK conditions filter queryset when used in case statements in some cases,closed,nobody,Bug,"Database layer (models, ORM)",1.8
24752,Reusing a Case/Where object in a query causes a crash,closed,akaariai,Bug,"Database layer (models, ORM)",1.8
