ID,Title,Created At,Closed At
10028,Running debugger multiple times causes AttributeError: 'NoneType' object has no attribute 'f_globals',2016-10-24T23:26:35Z,2016-10-25T13:29:20Z
9983,Test failure: deep-reloading numpy,2016-10-05T11:50:17Z,2016-10-08T17:05:03Z
9952,Some mpl backends have no corresponding GUI,2016-09-16T09:51:06Z,2016-09-19T17:21:01Z
9923,prompt_toolkit: color changed also for background output to stdout/stderr,2016-08-31T11:11:58Z,2016-09-01T10:04:01Z
9877,IPython crashes copy-pasting multiline code,2016-08-15T14:06:06Z,2016-08-15T21:25:41Z
9869,Installing ipython creates ipython3 executable even if python3 isn't installed,2016-08-13T02:05:04Z,2016-08-13T12:32:50Z
9648,"`--colors` flag seems to be ignored, `%colors` doesn't work",2016-06-22T00:42:41Z,2016-06-24T19:05:30Z
9539,problem in jupyter_qtconsole with ipython5.0b1,2016-06-04T07:54:28Z,2016-06-06T19:48:44Z
9391,Can't quit `less` without using Ctrl-C: pager quit is effectively broken.,2016-04-13T07:48:17Z,2016-04-14T14:49:27Z
9390,Terminal auto-scrolls with long input,2016-04-13T07:46:16Z,2016-04-13T19:23:21Z
9379,TypeError on Shell Completion,2016-04-06T23:54:52Z,2016-04-15T12:09:58Z
9361,"Odd, broken buffering of internal messages...",2016-03-27T03:23:37Z,2016-03-29T15:56:26Z
9359,Confirm-on-exit broken on master,2016-03-27T00:04:17Z,2016-04-04T17:01:56Z
9331,Auto-rewrite when autocall is on miscomputes the number of dashes to print and then messes output prompt positioning,2016-03-17T02:40:06Z,2016-06-01T20:37:28Z
9244,Wrap colour sequences in debugger prompt in marker bytes,2016-02-18T15:03:01Z,2016-02-18T15:21:27Z
9114,ipython tab completion always display all possibilities,2016-01-06T07:07:00Z,2016-05-25T19:21:38Z
8804,Unable to 'pip install ipython' with PyPy 2.6.1 on OS X,2015-09-10T05:11:56Z,2015-09-14T16:02:47Z
8803,history.py error,2015-09-09T22:16:26Z,2016-09-12T15:36:41Z
8791,%%writefile ignores '>>>' at the beginning of lines,2015-09-04T08:47:09Z,2016-01-19T21:33:33Z
8776,Update to latest path.py package breaks ipython,2015-08-27T13:36:34Z,2016-01-21T09:12:31Z
8333,Fix class name for launching 'ipython qtconsole',2015-04-19T16:19:45Z,2015-04-19T16:26:08Z
8300,Terminal scrolling issues on Windows+Chrome,2015-04-10T01:00:43Z,
8159,Fix action do not provide icon.,2015-03-26T19:40:02Z,2015-03-27T22:50:20Z
8069,kernel_ready.Kernel triggered twice when creating a new notebook,2015-03-17T16:14:15Z,2016-01-19T14:38:27Z
8068,Notebook and console send different messages for completion,2015-03-17T04:18:05Z,
8064,Styling the new flex box widget classes - width of IntText,2015-03-16T14:45:48Z,
8057,Multiple selector master checkbox has wrong logic,2015-03-14T21:00:53Z,2015-03-20T20:12:22Z
8056,Vertical position problems in dashboard,2015-03-14T20:57:32Z,2015-03-17T18:41:17Z
8055,Image problems in output,2015-03-14T20:51:54Z,2015-03-19T17:59:49Z
8054,Focus click problems with toolbar,2015-03-14T14:07:17Z,2015-03-30T21:12:33Z
8043,Allow inspection of source code for magics,2015-03-13T19:29:54Z,2015-03-13T20:26:14Z
8033,Magic don't get source on ??,2015-03-12T19:08:47Z,2015-03-13T20:26:14Z
8012,SelectMultiple widget does not always work,2015-03-10T17:21:06Z,2015-03-13T19:25:09Z
7873,Holding the space bar to scroll down the document doesn't work.,2015-02-25T23:02:48Z,
7835,ipython exits with traceback when run in non-existing directory,2015-02-23T14:09:50Z,2015-02-28T18:14:08Z
7829,nbconvert --to slides --post server reveal.js redirection not working,2015-02-21T17:45:00Z,2015-02-25T00:03:28Z
7827,Equations in notebook jump from centered to L aligned upon rendering,2015-02-21T05:34:27Z,
7790,No space between notification areas,2015-02-15T19:21:01Z,2015-03-29T00:49:38Z
