ID,Title,Created At,Closed At
7587,BUG: shared log axes lose _minpos and revert to default,2016-12-08T01:28:28Z,2016-12-13T03:24:40Z
7406,NaN causes plt.vlines to not scale y limits,2016-11-04T18:38:56Z,2016-11-08T20:21:33Z
7373,Regression in imshow,2016-11-01T16:57:13Z,2016-11-07T20:46:24Z
7114,BUG: ax.tick_params change in tick length does not adjust tick labels,2016-09-14T22:59:58Z,2016-09-16T05:17:04Z
6967,symlog + minor ticks = exception,2016-08-23T19:09:30Z,
6940,large memory leak in new contour routine,2016-08-12T02:42:43Z,2016-08-29T20:03:40Z
6776,Fix #6773: Don't do image extent adjustment...,2016-07-17T14:38:01Z,2016-11-21T21:27:35Z
6516,savefig to pdf: 'str' object has no attribute 'decode',2016-05-31T20:48:11Z,
6509,pylab image_masked is broken,2016-05-31T07:36:50Z,2016-07-10T01:05:23Z
6420,matplotlib Qt5Agg backend error: 'figure' is an unknown keyword argument,2016-05-13T21:44:51Z,
6313,weighted_wiggle stackplot fails when all lines are zero at same x,2016-04-18T11:32:08Z,
6276,Ticklabel format not preserved after editing plot limits,2016-04-06T22:06:50Z,2016-05-16T20:59:50Z
6270,pyplot.contour() not working with matplotlib.ticker.LinearLocator(),2016-04-05T22:32:38Z,2016-05-16T13:47:15Z
6266,Better fallback when color is a float,2016-04-03T07:36:52Z,2016-04-08T18:09:08Z
6228,Rasterizing patch changes filling of hatches in pdf backend,2016-03-26T12:46:52Z,2016-11-14T21:51:40Z
6227,Rasterizing patch in legend changes position - PDF backend,2016-03-26T12:37:53Z,
6226,Issue saving figure as eps when using gouraud shaded triangulation,2016-03-25T20:53:44Z,2016-04-30T04:47:53Z
6212,ENH? BUG? `pyplot.setp`/`Artist.setp` does not accept non-indexable iterables of handles.,2016-03-23T15:47:42Z,2016-03-26T03:56:33Z
6173,"`linestyle` parameter does not support default cycler through `None`, crashes instead.",2016-03-17T17:11:13Z,2016-05-16T20:59:50Z
6125,Tight_layout failing on second png output with gtk backend,2016-03-07T11:42:04Z,
6035,Issue(?): head size of FancyArrowPatch changes between interactive figure and picture export,2016-02-20T13:49:15Z,2016-05-30T20:34:14Z
6000,Non-working 'set_visible' method for PatchCollection,2016-02-14T18:38:19Z,
5963,Unnecessarily large date range created when plotting a single point using a Datetime object,2016-02-03T17:12:56Z,
5948,tilted line visible in generated pdf file,2016-01-30T22:16:34Z,2016-02-22T20:31:27Z
5841,extra label for non-existent tick,2016-01-13T05:59:15Z,2016-02-08T23:57:45Z
5830,Incorrect overlap of markers in scatter3D,2016-01-11T07:20:40Z,
5692,Can't remove StemContainer,2015-12-17T19:04:56Z,2015-12-23T16:15:42Z
5609,Segfaults with wxpython 3.0.2.0 backend,2015-12-03T13:41:00Z,
5477,Contouring decreasing levels,2015-11-13T11:13:11Z,
5464,figaspect not working with numpy floats,2015-11-11T19:26:15Z,2015-11-18T05:14:00Z
5456,'bottom cannot be >= top' when using `tight_layout`,2015-11-10T09:43:09Z,
5444,\overline and subscripts/superscripts in mathtext,2015-11-08T22:32:06Z,2015-11-09T12:46:49Z
5424,Update colorbar after changing mappable.norm,2015-11-06T21:34:51Z,
5377,Plotting three points using scatter results in wrong color - 1.4.3,2015-11-02T06:31:01Z,
5344,Arrow in polar plot broken,2015-10-29T01:05:23Z,
5238,the offset of the scientific notation in xaxis stays at bottom when axis is set to top,2015-10-13T16:56:42Z,
5105,1.5rc1: Calling figure transform with wrong argument crashs python,2015-09-19T16:19:38Z,2015-10-02T21:15:07Z
5023,Fix Agg clipping,2015-09-04T00:36:49Z,2015-09-04T05:00:24Z
5016,plot line not shown in some cases involving masked arrays,2015-09-01T18:13:18Z,2015-09-06T18:22:08Z
5004,Alpha blending is incorrect in OffsetImage,2015-08-28T11:45:16Z,
4996,tick labels when autoscale is off,2015-08-27T07:07:01Z,
4976,missing imshow() subplots when using tight_layout(),2015-08-21T18:38:28Z,
4947,animation blitting is no longer working,2015-08-17T23:02:18Z,2015-08-18T13:16:12Z
4917,UserWarning for pandas dataframe plot with errors,2015-08-13T21:05:14Z,
4786,figure.add_subplot not creating new axes after change_geometry(),2015-07-25T01:03:24Z,
4784,Incorrect polygon filling of mplot3d filled contouring,2015-07-24T15:26:02Z,2015-07-27T20:33:28Z
4751,Bar plot seems not to understand numpy.uint8 dtype,2015-07-21T18:43:21Z,2015-07-22T14:53:50Z
4602,bar / hist : gap between first bar and other bars with lw=0.0,2015-07-08T11:29:00Z,2016-09-06T00:52:01Z
4584,ColorbarBase draws edges in slightly wrong positions. ,2015-07-04T22:51:16Z,
4581,race condition in log scale + locating minor ticks,2015-07-03T23:14:30Z,
4513,Cursor does not work with useblit=False under PySide,2015-06-10T15:58:26Z,
4470,Issue encoding type1 fonts with python 3,2015-05-25T21:41:11Z,2015-07-03T15:18:21Z
4450,shared axes switch to log scale,2015-05-21T03:25:24Z,
4448,segfault creating polarplot with GridHelperCurveLinear,2015-05-20T15:20:05Z,
4447,Qt figure options widget can't undo step linestyle,2015-05-20T12:25:45Z,2015-07-08T01:30:41Z
4445,Two issues with the axes offset indicator,2015-05-19T20:25:26Z,2016-03-26T02:52:54Z
4437,tricontour and tricontourf hang,2015-05-17T16:27:18Z,2015-07-16T02:40:58Z
4421,IPython Notebook: irregular marker edge for 'o',2015-05-12T19:22:05Z,2015-05-13T17:56:24Z
4413,Long axis title alters xaxis length and direction with `plt.tight_layout()`,2015-05-07T14:02:03Z,
4354,scatter not showing valid x/y points with invalid color,2015-04-19T11:28:39Z,
4346,Tick label padding on first y-axis changes when adding a second y-axis,2015-04-17T05:17:11Z,
4323,"seaborn.tsplot and matplotlib's ""Curve lines and axes parameters"" editor",2015-04-10T16:00:46Z,2015-05-13T17:59:04Z
4321,clabel ticks and axes limits with eps zoom output ,2015-04-10T05:45:34Z,
4318,pyplot.savefig fails with ValueError: cannot convert float NaN to integer,2015-04-07T23:49:29Z,2015-07-17T00:35:51Z
4309,Bbox overlaps method returns True for NaN vertices ,2015-04-03T20:38:50Z,2015-04-19T17:04:16Z
4303,Labels become colors in figure options in qt backends,2015-04-01T13:28:32Z,2015-04-03T17:45:28Z
4283,Memory hole when using Cursor widget with Qt (PySide) and useblit=True on Windows,2015-03-26T19:45:43Z,2015-06-10T15:59:49Z
4280,imsave reduces 1row from the image,2015-03-26T11:37:00Z,2016-02-18T02:36:03Z
4262,Bug in pyplot.plot() with zorder/solid_capstyle kwarg combinations,2015-03-22T17:45:03Z,2015-03-23T03:16:08Z
4239,Errorbar caps missing in master when saving to PDF,2015-03-18T07:00:06Z,2015-03-18T18:05:40Z
4227,pcolorfast fails in master when image is not uniform,2015-03-16T04:01:07Z,2015-04-19T19:49:56Z
4212,Hist showing wrong first bin,2015-03-11T23:15:02Z,2016-09-06T00:55:03Z
4185,Colorbar outline has broken path in vector backends,2015-03-03T20:29:35Z,2015-03-04T22:48:51Z
4180,UniformTriRefiner gives uncorrect results for transposed arrays,2015-03-02T02:53:55Z,2015-03-04T02:06:55Z
4162,c=color not changing line color,2015-02-25T14:08:58Z,2015-03-08T01:08:46Z
4131,pyplot.yticks after pyplot.ylim breaks the scale,2015-02-19T05:56:22Z,
4083,Marker edges are randomly missing,2015-02-08T15:03:50Z,2015-02-19T02:42:06Z
4076,"contains() is broken with scatter plots with master, works with v1.4.3rc1",2015-02-07T17:53:09Z,2015-02-11T17:01:56Z
4053,PowerNorm().__call__ doesn't work with scalar input value,2015-01-29T23:28:43Z,2015-02-02T02:34:33Z
4050,Fix masked array handling,2015-01-29T17:19:38Z,2015-01-30T23:18:44Z
4049,Issue with plotting zeros in log space,2015-01-29T15:15:09Z,2015-01-30T23:18:44Z
4043,tick_right() doesn't move scale factor,2015-01-28T00:20:37Z,2015-02-16T03:12:19Z
4033,PatchCollection with one patch disappears when zooming in too much,2015-01-23T23:44:52Z,
4024,Path effects applied to annotation text containing \n,2015-01-21T22:11:54Z,2015-10-09T18:33:51Z
3998,Semilog plots with zero values,2015-01-13T16:44:01Z,2015-01-31T09:39:45Z
3982,pgf can not write to `BytesIO` [back port to 1.4.x],2015-01-08T15:00:17Z,2015-01-09T07:47:13Z
3980,zoom in wx with retnia behaves badly,2015-01-08T01:22:04Z,2015-12-09T21:29:49Z
3977,Zooming on images doesn't work properly (anymore),2015-01-07T14:04:33Z,2015-01-07T20:08:38Z
3962,No image appears with nbagg,2015-01-02T16:07:16Z,2015-01-15T15:49:22Z
3922,Line 2256 of patches.py should be removed ,2014-12-15T18:55:00Z,2014-12-15T20:08:43Z
3921,Moving the ticks to the top or to the right resets tick format,2014-12-15T15:14:00Z,
3918,bbox images do not get placed properly when figure is saved to png or pdf,2014-12-13T05:29:26Z,
3895,MarkerStyle Instance not Accepted for scatter,2014-12-05T21:16:07Z,2015-02-19T02:10:28Z
3881,"interactive mode not working with backends gtk3agg, gtk3cairo",2014-12-04T01:37:15Z,
3873,bars plotted on polar axes still have visible boundaries when linewidth is 0,2014-12-02T20:00:41Z,
3872,collections.BrokenBarHCollection.span_where not working with pandas timeseries,2014-12-02T17:46:20Z,
3841,Fill color is always opaque in the pdf backend if there is a hatch pattern,2014-11-24T20:12:32Z,
3824,Path.contains_points() returns a uint8 array instead of a bool array,2014-11-21T14:13:09Z,2014-11-21T16:41:32Z
3817,quiver is not plotting only 1 vector,2014-11-19T21:30:41Z,2015-01-25T19:50:56Z
3816,savefig with bbox_inches='tight' ignores annotation without text,2014-11-19T14:04:22Z,2015-01-31T21:59:44Z
3809,Workaround needed to make example in `Transformations Tutorial` work with log axis,2014-11-16T23:28:20Z,2014-12-09T10:49:52Z
3805,Cannot initialize ColorbarBase without a norm.,2014-11-16T03:33:26Z,2014-11-16T20:59:27Z
3766,Transparency not respected in legendPatch,2014-11-08T01:33:45Z,2014-12-31T22:29:01Z
3763,WebAgg: _png.write_png raises TypeError,2014-11-07T14:45:11Z,2014-11-07T18:09:09Z
3746,matplotlib tooltips for previous plot figure remain stuck to screen with next figure on Mac OS X 10.10,2014-11-01T01:21:39Z,
3734,Image redraw problem on OSX with wx>2.9 & mpl>1.1,2014-10-28T16:10:00Z,2015-01-15T17:34:49Z
3728,eventplot breaks for default `colors=None` kwarg,2014-10-27T12:26:25Z,2014-10-28T16:52:56Z
3722,semilogx and fill_between produce a segmentation fault,2014-10-26T12:58:53Z,2014-12-31T23:09:56Z
3715,Axis labels only move with spines if there are ticks,2014-10-25T08:25:05Z,2015-03-12T23:38:27Z
3709,quiver does not consider direction of an axis,2014-10-23T12:45:36Z,2015-01-25T19:50:56Z
3706,Data draws on top of legend.,2014-10-23T02:28:54Z,
3690,Using Ctrl-W to close a matplotlib window opened by exec-ing a script in wxpython causes a segfault under linux,2014-10-21T14:40:53Z,
3633,twinx clear problem,2014-10-10T20:27:08Z,2015-01-27T06:11:06Z
3626,"Manual xlim log stackplots not showing, linear stackplots segfault",2014-10-09T06:06:55Z,2014-12-27T22:51:50Z
3622,"setup.py creates a zombie C extension called ""freetype2""",2014-10-07T21:03:17Z,2014-10-10T18:42:18Z
3574,`rotation` parameter has no effect on `RegularPolyCollection`,2014-09-27T14:10:09Z,2014-09-30T15:26:01Z
