commit,author,date,title,faultID,file
37927b2,Thomas A Caswell,2015-05-12 22:14:39,FIX : turn path snapping off on 'o' marker path,4421,lib/matplotlib/markers.py
66a8ac0,Thomas A Caswell,2015-05-06 08:18:59,FIX : do not pass empty curve list through,4323,lib/matplotlib/backends/qt_editor/figureoptions.py
8e64eed,Thomas A Caswell,2015-03-16 00:49:43,BUG : fix non-uniform grids in pcolorfast,4227,lib/matplotlib/image.py
8e64eed,Thomas A Caswell,2015-03-16 00:49:43,BUG : fix non-uniform grids in pcolorfast,4227,lib/matplotlib/tests/test_axes.py
3ab6b24,Thomas A Caswell,2015-04-04 22:03:37,BUG : bbox with any nan points can not overlap,4309,lib/matplotlib/tests/test_transforms.py
3ab6b24,Thomas A Caswell,2015-04-04 22:03:37,BUG : bbox with any nan points can not overlap,4309,lib/matplotlib/transforms.py
94e6944,Thomas A Caswell,2015-04-03 13:45:20,Merge pull request #4304 from Acanthostega/master,4303
3f03e2e,Thomas A Caswell,2015-03-07 20:08:39,Merge pull request #4198 from efiring/plot_color_alias,4162,lib/matplotlib/axes/_axes.py
3f03e2e,Thomas A Caswell,2015-03-07 20:08:39,Merge pull request #4198 from efiring/plot_color_alias,4162,lib/matplotlib/tests/test_axes.py
66c5aa6,Thomas A Caswell,2015-03-18 14:05:32,Merge pull request #4244 from mdboom/issue4239,4239
0c8c640,Michael Droettboom,2015-03-18 12:41:04,Fix #4239: Don't include scientific notation in path strings,4239,lib/matplotlib/tests/test_path.py
ac335d9,Thomas A Caswell,2015-03-07 20:08:39,Merge pull request #4198 from efiring/plot_color_alias,4162
308fae5,Eric Firing,2015-03-07 13:15:50,"Plot: convert 'c' to 'color' immediately; closes #4162, #4157",4162,lib/matplotlib/axes/_axes.py
308fae5,Eric Firing,2015-03-07 13:15:50,"Plot: convert 'c' to 'color' immediately; closes #4162, #4157",4162,lib/matplotlib/tests/test_axes.py
54abca4,Cimarron Mittelsteadt,2015-03-05 19:55:55,TST: Added test to check that axis labels are located correctly when no tick labels are present and axis spines are offset (see issue #3715),3715,lib/matplotlib/tests/test_spines.py
2077a46,Ian Thomas,2015-03-03 18:59:03,"Fixed issue #4180, trirefiner not dealing with fortran-contiguous triangles",4180,lib/matplotlib/tests/test_triangulation.py
2077a46,Ian Thomas,2015-03-03 18:59:03,"Fixed issue #4180, trirefiner not dealing with fortran-contiguous triangles",4180,lib/matplotlib/tri/triangulation.py
98d1d24,Eric Firing,2015-03-03 11:26:10,Merge pull request #4184 from ianthomas23/4180_trirefiner_fortran_contiguous_triangles,4180
fcbea4a,Ian Thomas,2015-03-03 18:59:03,"Fixed issue #4180, trirefiner not dealing with fortran-contiguous triangles",4180,lib/matplotlib/tests/test_triangulation.py
fcbea4a,Ian Thomas,2015-03-03 18:59:03,"Fixed issue #4180, trirefiner not dealing with fortran-contiguous triangles",4180,lib/matplotlib/tri/triangulation.py
08b8adb,Thomas A Caswell,2015-02-15 22:12:12,Merge pull request #4097 from lichri12/patch-1,4043
63e1c1b,lichri12,2015-02-13 16:42:27,Fix scale factor label issue #4043,4043,lib/matplotlib/axis.py
9e700a9,Eric Firing,2015-02-11 07:01:49,Merge pull request #4087 from mdboom/collection-picking,4076
0f204ec,Michael Droettboom,2015-02-09 14:33:48,Fix #4076. Change how result is stored in point_in_path/point_on_path. Return indices as signed integers (since that's what Numpy wants).,4076,lib/matplotlib/tests/test_collections.py
36c14b5,Thomas A Caswell,2015-01-30 18:18:44,Merge pull request #4050 from mdboom/issue4049,4049
c98a90d,Thomas A Caswell,2015-01-30 11:02:18,BUG : fix PowerNorm with scalars,4053,lib/matplotlib/colors.py
c98a90d,Thomas A Caswell,2015-01-30 11:02:18,BUG : fix PowerNorm with scalars,4053,lib/matplotlib/tests/test_colors.py
b4563d8,Thomas A Caswell,2014-10-11 00:11:28,BUG : fix cla behavior with twinx,3633,lib/matplotlib/axes/_base.py
b4563d8,Thomas A Caswell,2014-10-11 00:11:28,BUG : fix cla behavior with twinx,3633,lib/matplotlib/tests/test_axes.py
9aa8e5f,Thomas A Caswell,2015-01-25 14:50:50,Merge pull request #4034 from efiring/quiverdraw,3709,lib/matplotlib/quiver.py
9aa8e5f,Thomas A Caswell,2015-01-25 14:50:50,Merge pull request #4034 from efiring/quiverdraw,3709,lib/matplotlib/tests/test_quiver.py
b280f7d,Thomas A Caswell,2015-01-25 14:50:50,Merge pull request #4034 from efiring/quiverdraw,3709
6260c48,Eric Firing,2015-01-23 11:10:31,"quiver: always recalculate when drawing; improve docstring; closes #3709, #3817",3709,lib/matplotlib/quiver.py
6260c48,Eric Firing,2015-01-23 11:10:31,"quiver: always recalculate when drawing; improve docstring; closes #3709, #3817",3709,lib/matplotlib/tests/test_quiver.py
9d97a21,Phil Elson,2014-12-09 10:49:46,Merge pull request #3863 from maxalbert/fix_log_transforms,3809,lib/matplotlib/tests/test_transforms.py
9d97a21,Phil Elson,2014-12-09 10:49:46,Merge pull request #3863 from maxalbert/fix_log_transforms,3809,lib/matplotlib/transforms.py
d8965dd,Peter Würtz,2015-01-08 17:21:31,backend_pgf: Partial support of file-like streams without filenames (fixes #3982),3982,lib/matplotlib/backends/backend_pgf.py
543a222,Phil Elson,2014-12-09 10:49:46,Merge pull request #3863 from maxalbert/fix_log_transforms,3809
ca10a34,Phil Elson,2014-11-30 15:13:07,Merge pull request #3861 from maxalbert/fix_get_window_extent,2980
b5685f4,Matt Li,2014-11-29 16:36:57,Ensure that 'points' is an array to avoid errors when indexing (completes fix for #3809).,3809,lib/matplotlib/transforms.py
