tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v1.8.4,test/units/TestInventory.py,0,0,0,0,1,0,0,0,0,0,379,0,0
v1.8.4,v2/ansible/plugins/lookup/csvfile.py,0,0,0,0,0,0,0,0,0,0,47,2,0
v1.8.4,v2/ansible/plugins/cache/memcached.py,0,0,0,0,0,0,0,0,0,0,124,2,0
v1.8.4,lib/ansible/runner/lookup_plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.8.4,docsite/conf.py,0,0,0,0,0,0,0,0,0,0,28,0,0
v1.8.4,plugins/inventory/ssh_config.py,0,0,0,0,0,0,0,0,0,0,55,0,0
v1.8.4,test/units/TestSynchronize.py,1,0,0,0,0,0,0,0,0,0,133,3,1
v1.8.4,docsite/build-site.py,0,0,0,0,0,0,0,0,0,0,57,0,0
v1.8.4,lib/ansible/callback_plugins/noop.py,1,0,0,0,0,0,0,0,0,0,44,0,0
v1.8.4,v2/test/parsing/vault/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,lib/ansible/runner/lookup_plugins/pipe.py,0,0,0,0,0,0,0,0,0,0,19,0,0
v1.8.4,v2/ansible/playbook/conditional.py,0,0,0,0,0,0,0,0,0,0,12,0,0
v1.8.4,lib/ansible/cache/__init__.py,0,0,0,0,0,0,0,0,0,0,31,0,0
v1.8.4,plugins/inventory/linode.py,0,1,0,0,0,0,0,0,0,0,190,0,0
v1.8.4,v2/test/parsing/vault/test_vault_editor.py,0,0,0,0,0,0,0,0,0,0,124,2,0
v1.8.4,v2/ansible/compat/configparser.py,0,0,0,0,0,0,0,0,0,0,7,1,0
v1.8.4,lib/ansible/runner/action_plugins/group_by.py,1,1,0,0,0,0,0,0,0,0,66,0,0
v1.8.4,plugins/callbacks/log_plays.py,1,0,0,0,0,0,0,0,0,0,63,0,0
v1.8.4,v2/ansible/playbook/role/requirement.py,0,0,0,0,0,0,0,0,0,0,83,2,0
v1.8.4,v2/ansible/plugins/lookup/etcd.py,0,0,0,0,0,0,0,0,0,0,47,1,0
v1.8.4,lib/ansible/runner/lookup_plugins/file.py,0,0,0,0,0,0,0,0,0,0,25,0,0
v1.8.4,v2/ansible/playbook/role/metadata.py,0,0,0,0,0,0,0,0,0,0,30,1,0
v1.8.4,v2/test/vars/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,v2/test/errors/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,lib/ansible/callback_plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.8.4,lib/ansible/utils/vault.py,1,0,0,0,0,0,0,0,0,0,321,0,0
v1.8.4,lib/ansible/runner/connection_plugins/libvirt_lxc.py,1,0,0,0,0,0,0,0,0,0,77,1,0
v1.8.4,v2/ansible/parsing/yaml/objects.py,0,0,0,0,0,0,0,0,0,0,23,4,0
v1.8.4,lib/ansible/constants.py,2,0,0,0,0,0,0,0,0,0,143,4,1
v1.8.4,setup.py,0,0,0,0,0,0,0,0,0,0,30,1,0
v1.8.4,lib/ansible/runner/connection_plugins/fireball.py,1,0,0,0,0,0,0,0,0,0,95,0,0
v1.8.4,lib/ansible/playbook/play.py,0,4,0,0,1,0,0,0,0,2,606,10,2
v1.8.4,lib/ansible/utils/module_docs_fragments/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.8.4,lib/ansible/runner/lookup_plugins/etcd.py,0,0,0,0,0,0,0,0,0,0,47,0,0
v1.8.4,v2/ansible/parsing/splitter.py,0,1,0,0,0,0,0,0,0,0,118,2,0
v1.8.4,v2/ansible/plugins/filter/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,plugins/inventory/ec2.py,0,2,0,0,0,0,0,0,1,2,390,7,1
v1.8.4,v2/ansible/playbook/block.py,0,0,0,0,0,0,0,0,0,0,47,12,0
v1.8.4,lib/ansible/inventory/__init__.py,0,1,0,0,1,0,0,0,4,0,418,1,0
v1.8.4,lib/ansible/runner/shell_plugins/sh.py,0,0,0,0,0,0,0,0,0,0,56,2,1
v1.8.4,plugins/inventory/vmware.py,0,0,0,0,0,0,0,0,0,4,136,0,0
v1.8.4,lib/ansible/module_utils/gce.py,0,0,0,0,0,0,0,0,0,0,46,0,0
v1.8.4,v2/ansible/compat/tests/mock.py,0,0,0,0,0,0,0,0,0,0,10,0,0
v1.8.4,v2/test/plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,lib/ansible/utils/__init__.py,0,1,0,0,0,0,0,0,1,0,1040,5,2
v1.8.4,plugins/callbacks/osx_say.py,1,0,0,0,0,0,0,0,0,0,58,0,0
v1.8.4,v2/ansible/plugins/lookup/flattened.py,0,0,0,0,0,0,0,0,0,0,32,1,0
v1.8.4,lib/ansible/runner/lookup_plugins/nested.py,0,0,0,0,0,0,0,0,0,0,43,0,0
v1.8.4,lib/ansible/runner/lookup_plugins/dict.py,0,0,0,0,0,0,0,0,0,0,16,0,0
v1.8.4,hacking/module_formatter.py,3,2,0,0,0,0,0,0,0,0,274,4,0
v1.8.4,test/units/module_tests/TestDocker.py,0,0,0,0,0,0,0,0,0,0,13,0,0
v1.8.4,v2/ansible/parsing/__init__.py,0,0,0,0,0,0,0,0,0,0,2,5,0
v1.8.4,v2/ansible/parsing/yaml/strings.py,0,0,0,0,0,0,0,0,0,0,24,0,0
v1.8.4,lib/ansible/runner/filter_plugins/core.py,0,1,0,0,0,0,0,0,0,0,224,1,0
v1.8.4,v2/ansible/playbook/vars.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,lib/ansible/runner/action_plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.8.4,v2/ansible/executor/playbook_iterator.py,0,0,0,0,0,0,0,0,0,0,57,0,0
v1.8.4,v2/ansible/plugins/lookup/subelements.py,0,0,0,0,0,0,0,0,0,0,37,1,0
v1.8.4,lib/ansible/runner/lookup_plugins/fileglob.py,0,0,0,0,0,0,0,0,0,0,14,0,0
v1.8.4,v2/test/playbook/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,test/units/TestVault.py,0,0,0,0,0,0,0,0,0,0,126,0,0
v1.8.4,v2/ansible/playbook/task_include.py,2,0,0,0,0,0,0,0,0,0,82,0,0
v1.8.4,lib/ansible/module_common.py,1,1,0,0,0,0,0,0,0,0,100,3,0
v1.8.4,v2/ansible/errors/__init__.py,0,0,0,0,0,0,0,0,0,0,82,4,0
v1.8.4,v2/test/playbook/test_block.py,0,0,0,0,0,0,0,0,0,0,46,1,0
v1.8.4,v2/ansible/plugins/lookup/indexed_items.py,0,0,0,0,0,0,0,0,0,0,19,2,0
v1.8.4,v2/ansible/playbook/include.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,lib/ansible/runner/lookup_plugins/dnstxt.py,0,0,0,0,0,0,0,0,0,0,35,0,0
v1.8.4,plugins/inventory/softlayer.py,0,0,0,0,0,0,0,0,0,2,84,1,0
v1.8.4,lib/ansible/runner/connection_plugins/jail.py,1,0,0,0,0,0,0,0,0,0,93,0,0
v1.8.4,v2/ansible/plugins/lookup/nested.py,0,0,0,0,0,0,0,0,0,0,43,1,0
v1.8.4,test/units/TestModuleUtilsDatabase.py,0,0,0,0,1,0,0,0,0,0,69,1,0
v1.8.4,plugins/inventory/cobbler.py,0,0,0,0,0,0,0,0,0,0,136,0,0
v1.8.4,v2/ansible/compat/tests/unittest.py,0,0,0,0,0,0,0,0,0,0,10,0,0
v1.8.4,lib/ansible/cache/memcached.py,0,0,0,0,0,0,0,0,0,0,124,0,0
v1.8.4,lib/ansible/playbook/__init__.py,0,3,0,0,0,0,0,0,2,0,521,3,1
v1.8.4,lib/ansible/cache/memory.py,0,0,0,0,0,0,0,0,0,0,18,0,0
v1.8.4,v2/ansible/config/__init__.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.8.4,lib/ansible/runner/action_plugins/unarchive.py,1,1,0,0,0,0,0,0,0,0,70,1,0
v1.8.4,lib/ansible/playbook/task.py,0,1,0,0,0,0,0,0,1,0,217,3,2
v1.8.4,plugins/inventory/zabbix.py,0,0,0,0,0,0,0,0,0,0,72,0,0
v1.8.4,v2/ansible/plugins/lookup/template.py,0,0,0,0,0,0,0,0,0,0,11,1,0
v1.8.4,lib/ansible/runner/connection_plugins/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.8.4,v2/test/parsing/test_mod_args.py,0,0,0,0,0,0,0,0,0,0,86,0,0
