tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
2.6.0,tests/integration/s3/test_gsconnection.py,0,2,0,0,0,0,0,0,0,0,260,1,0
2.6.0,boto/s3/bucket.py,0,1,0,0,1,0,0,0,0,0,828,8,0
2.6.0,boto/ecs/__init__.py,0,0,0,0,0,0,0,0,0,0,42,0,0
2.6.0,boto/manage/server.py,0,1,0,0,1,0,0,0,0,0,447,0,0
2.6.0,boto/cloudfront/logging.py,0,0,0,0,0,0,0,0,0,0,12,0,0
2.6.0,boto/ec2/autoscale/scheduled.py,0,0,0,0,0,0,0,0,0,0,31,0,0
2.6.0,boto/rds/parametergroup.py,0,0,0,0,0,0,0,0,0,0,147,0,0
2.6.0,boto/s3/key.py,1,3,0,0,1,0,0,0,0,0,624,13,0
2.6.0,boto/sns/__init__.py,0,0,0,0,0,0,0,0,0,0,31,1,0
2.6.0,boto/connection.py,2,3,0,0,0,0,0,0,1,0,600,12,0
2.6.0,tests/integration/ec2/test_connection.py,0,1,0,0,0,0,0,0,0,0,125,0,0
2.6.0,tests/integration/s3/test_multipart.py,0,0,0,0,0,0,0,0,0,0,77,0,0
2.6.0,boto/sdb/db/key.py,0,0,0,0,0,0,0,0,0,0,27,0,0
2.6.0,boto/https_connection.py,0,0,0,0,0,0,0,0,1,0,61,2,0
2.6.0,boto/s3/deletemarker.py,0,0,0,0,0,0,0,0,0,0,28,1,0
2.6.0,boto/cacerts/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/mws/connection.py,0,0,9,0,1,0,1,0,0,0,530,2,0
2.6.0,tests/unit/glacier/test_layer1.py,0,0,0,0,0,0,0,0,0,0,64,1,1
2.6.0,boto/sqs/message.py,0,0,0,0,0,0,0,0,0,0,120,0,0
2.6.0,tests/unit/s3/test_cors_configuration.py,0,0,0,0,0,0,0,0,0,0,33,0,0
2.6.0,boto/glacier/layer1.py,3,0,0,0,0,0,0,0,0,0,204,4,1
2.6.0,boto/ec2/cloudwatch/listelement.py,0,0,0,0,0,0,0,0,0,0,6,0,0
2.6.0,boto/dynamodb/layer2.py,2,0,0,0,0,0,0,0,0,0,290,12,0
2.6.0,tests/devpay/test_s3.py,0,1,0,0,0,0,0,0,0,0,125,0,0
2.6.0,boto/cloudfront/origin.py,0,0,0,0,0,0,0,0,0,0,66,0,0
2.6.0,tests/integration/swf/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.6.0,boto/mturk/price.py,0,0,0,0,0,0,0,0,0,0,21,0,0
2.6.0,tests/unit/cloudformation/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/ec2/autoscale/group.py,0,0,0,0,0,0,0,0,0,0,192,2,0
2.6.0,tests/integration/rds/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.6.0,boto/sts/credentials.py,0,0,0,0,0,0,0,0,0,0,87,2,0
2.6.0,boto/ec2/volume.py,0,0,0,0,0,0,0,0,0,0,138,0,0
2.6.0,boto/vpc/vpnconnection.py,0,0,0,0,0,0,0,0,0,0,29,0,0
2.6.0,boto/emr/instance_group.py,1,0,0,0,0,0,0,0,0,0,20,0,0
2.6.0,boto/ec2/elb/__init__.py,0,0,0,0,0,0,0,0,0,0,215,10,2
2.6.0,boto/glacier/__init__.py,0,0,0,0,0,0,0,0,0,0,24,0,0
2.6.0,tests/integration/ec2/autoscale/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/provider.py,0,0,0,0,1,0,0,0,0,0,224,3,0
2.6.0,boto/pyami/launch_ami.py,0,1,0,0,0,0,0,0,0,0,108,0,0
2.6.0,boto/ec2/tag.py,0,0,0,0,0,0,0,0,0,0,41,0,0
2.6.0,boto/glacier/concurrent.py,2,0,0,0,0,0,0,0,0,0,137,3,0
2.6.0,tests/integration/ec2/cloudwatch/test_connection.py,0,0,0,0,0,0,0,0,0,0,144,1,0
2.6.0,boto/sdb/db/manager/__init__.py,0,0,0,0,0,0,0,0,0,0,40,0,0
2.6.0,tests/mturk/support.py,0,0,0,0,0,0,0,0,0,0,4,0,0
2.6.0,boto/beanstalk/layer1.py,1,0,0,0,1,0,0,0,0,0,386,2,0
2.6.0,boto/pyami/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/file/bucket.py,0,0,0,0,0,0,0,0,0,0,37,0,0
2.6.0,boto/core/service.py,0,0,0,0,0,0,0,0,0,0,31,0,0
2.6.0,tests/unit/ec2/test_volume.py,0,0,0,0,0,0,0,0,0,0,201,0,0
2.6.0,boto/sns/connection.py,1,0,0,0,0,0,0,0,0,0,215,5,0
2.6.0,boto/sdb/db/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/dynamodb/item.py,0,0,0,0,0,0,0,0,0,0,64,0,0
2.6.0,tests/integration/ec2/cloudwatch/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/sts/__init__.py,0,0,0,0,0,0,0,0,0,0,13,0,0
2.6.0,boto/gs/key.py,0,1,0,0,0,0,0,0,0,0,91,6,0
2.6.0,tests/mturk/run-doctest.py,0,0,0,0,0,0,0,0,0,0,9,0,0
2.6.0,tests/mturk/selenium_support.py,0,0,0,0,0,0,0,0,0,0,52,0,0
2.6.0,boto/gs/acl.py,0,0,0,0,0,0,0,0,0,0,208,1,0
2.6.0,boto/gs/resumable_upload_handler.py,2,2,0,0,0,0,0,0,0,0,339,1,0
2.6.0,boto/ec2/autoscale/activity.py,0,0,0,0,0,0,0,0,0,0,46,0,0
2.6.0,tests/integration/sts/test_session_token.py,0,0,0,0,0,0,0,0,0,0,27,0,0
2.6.0,boto/ec2/regioninfo.py,0,0,0,0,0,0,0,0,0,0,7,0,0
2.6.0,tests/unit/cloudfront/test_signed_urls.py,0,0,0,0,0,0,0,0,0,0,197,2,0
2.6.0,boto/contrib/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6.0,boto/jsonresponse.py,0,0,0,0,0,0,0,0,0,0,119,0,0
2.6.0,boto/pyami/config.py,1,0,0,0,0,0,0,0,0,0,168,1,0
2.6.0,tests/db/test_lists.py,0,0,0,0,0,0,0,0,0,0,66,0,0
2.6.0,boto/gs/cors.py,0,0,0,0,0,0,0,0,0,0,106,0,0
2.6.0,tests/db/test_password.py,0,0,0,0,0,0,0,0,0,0,81,0,0
2.6.0,boto/s3/bucketlogging.py,0,0,0,0,0,0,0,0,0,0,50,0,0
2.6.0,boto/swf/__init__.py,0,0,0,0,0,0,0,0,0,0,13,0,0
2.6.0,tests/unit/beanstalk/test_layer1.py,0,0,0,0,0,0,0,0,0,3,106,0,0
2.6.0,boto/cloudfront/identity.py,0,0,0,0,0,0,0,0,0,0,78,0,0
2.6.0,tests/integration/sts/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.6.0,tests/integration/cloudsearch/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.6.0,boto/beanstalk/response.py,0,0,0,0,0,0,0,3,0,0,526,1,0
2.6.0,tests/integration/dynamodb/test_cert_verification.py,0,0,0,0,0,0,0,0,0,0,10,0,0
2.6.0,boto/mturk/qualification.py,0,0,0,0,0,0,0,0,0,0,72,0,0
2.6.0,boto/vpc/vpc.py,0,0,0,0,0,0,0,0,0,0,23,1,0
