tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
1.4.6,django/contrib/gis/utils/ogrinspect.py,0,1,0,0,0,0,0,0,0,0,93,2,0
1.4.6,django/contrib/webdesign/templatetags/webdesign.py,0,0,0,0,0,0,0,0,0,0,36,2,1
1.4.6,django/contrib/formtools/wizard/storage/base.py,0,0,0,0,0,0,0,0,0,1,75,1,0
1.4.6,django/contrib/databrowse/__init__.py,0,0,0,0,0,0,0,0,0,0,4,0,0
1.4.6,django/contrib/auth/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,12,0,0
1.4.6,django/core/management/commands/sqlclear.py,0,0,0,0,0,0,0,0,0,0,13,1,0
1.4.6,django/conf/locale/et/formats.py,0,0,0,0,0,0,0,0,0,0,6,3,0
1.4.6,django/utils/unittest/compatibility.py,0,0,0,0,0,0,0,0,0,0,46,0,0
1.4.6,django/contrib/gis/geos/tests/test_io.py,0,0,0,0,0,0,0,0,0,0,68,0,0
1.4.6,django/conf/locale/pt_BR/formats.py,0,0,0,0,0,0,0,0,0,0,26,2,0
1.4.6,django/utils/dateformat.py,0,0,0,0,0,0,0,0,0,0,224,7,0
1.4.6,django/contrib/databrowse/plugins/objects.py,0,0,0,0,0,0,0,0,0,0,12,0,0
1.4.6,django/contrib/gis/geos/prototypes/predicates.py,0,0,0,0,0,0,0,0,0,0,34,2,0
1.4.6,django/utils/html.py,0,0,0,0,0,0,0,0,0,0,209,11,1
1.4.6,django/conf/locale/mn/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4.6,django/db/models/fields/subclassing.py,0,0,0,0,0,0,0,0,0,0,26,1,1
1.4.6,django/contrib/messages/tests/urls.py,0,0,0,0,0,0,0,0,0,0,48,1,0
1.4.6,django/forms/widgets.py,3,0,0,0,0,0,0,0,0,0,580,20,2
1.4.6,django/contrib/gis/geos/io.py,0,0,0,0,0,0,0,0,0,0,11,3,0
1.4.6,django/conf/locale/zh_CN/formats.py,0,0,0,0,0,0,0,0,0,0,0,1,0
1.4.6,django/conf/locale/id/formats.py,0,0,0,0,0,0,0,0,0,0,32,1,0
1.4.6,django/contrib/gis/geoip/__init__.py,0,0,0,0,0,0,0,0,0,0,6,3,1
1.4.6,django/middleware/locale.py,0,0,0,0,0,0,0,0,0,0,50,3,0
1.4.6,django/contrib/gis/db/backends/oracle/introspection.py,0,0,0,0,0,0,0,0,0,0,25,1,0
