tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
1.4,django/contrib/databrowse/__init__.py,0,0,0,0,0,0,0,0,0,0,4,1,0
1.4,django/contrib/auth/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,12,1,0
1.4,tests/regressiontests/views/tests/generic/simple.py,0,0,0,0,0,0,0,0,0,0,29,1,0
1.4,tests/modeltests/get_object_or_404/models.py,0,0,0,0,0,0,0,0,0,0,18,0,0
1.4,tests/modeltests/m2o_recursive/tests.py,0,0,0,0,0,0,0,0,0,0,32,0,0
1.4,tests/regressiontests/defer_regress/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,django/contrib/gis/geos/prototypes/predicates.py,0,0,0,0,0,0,0,0,0,0,34,0,0
1.4,tests/regressiontests/dispatch/tests/__init__.py,0,0,0,0,0,0,0,0,0,0,3,1,0
1.4,django/contrib/localflavor/mx/forms.py,0,0,0,0,0,0,0,0,0,0,114,3,0
1.4,tests/regressiontests/utils/feedgenerator.py,0,0,0,0,0,0,0,0,0,0,39,2,0
1.4,django/contrib/gis/geos/io.py,0,0,0,0,0,0,0,0,0,0,11,0,0
1.4,django/conf/locale/zh_CN/formats.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,django/conf/locale/id/formats.py,0,0,0,0,0,0,0,0,0,0,32,0,0
1.4,django/contrib/gis/geoip/__init__.py,0,0,0,0,0,0,0,0,0,0,6,1,0
1.4,django/middleware/locale.py,0,0,0,0,0,0,0,0,0,0,39,0,0
1.4,django/middleware/clickjacking.py,0,0,0,0,0,0,0,0,0,0,15,0,0
1.4,django/utils/tree.py,0,0,0,0,0,0,0,0,0,0,81,1,1
1.4,django/conf/locale/sq/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,tests/regressiontests/urlpatterns_reverse/tests.py,1,0,0,0,0,0,0,0,0,2,344,2,1
1.4,tests/regressiontests/backends/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,tests/regressiontests/views/tests/shortcuts.py,0,0,0,0,0,0,0,0,0,0,52,2,1
1.4,django/contrib/gis/db/models/proxy.py,0,0,0,0,0,0,0,0,0,0,28,1,0
1.4,django/conf/locale/fa/formats.py,0,0,0,0,0,0,0,0,0,0,9,1,0
1.4,tests/regressiontests/serializers_regress/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,tests/regressiontests/views/tests/static.py,0,0,0,0,0,0,0,0,0,0,75,2,0
1.4,django/contrib/localflavor/tr/forms.py,0,0,0,0,0,0,0,0,0,0,63,3,0
1.4,tests/regressiontests/forms/tests/extra.py,0,0,0,0,0,0,0,0,0,0,175,3,0
1.4,django/core/management/commands/sqlindexes.py,0,0,0,0,0,0,0,0,0,0,12,1,0
1.4,django/contrib/formtools/tests/wizard/wizardtests/tests.py,0,0,0,0,0,0,0,0,0,1,285,4,0
1.4,tests/regressiontests/middleware_exceptions/urls.py,0,0,0,0,0,0,0,0,0,0,10,0,0
1.4,django/template/__init__.py,0,0,0,0,0,0,0,0,0,0,7,0,0
1.4,tests/modeltests/save_delete_hooks/tests.py,0,0,0,0,0,0,0,0,0,0,21,1,0
1.4,tests/modeltests/transactions/models.py,0,0,0,0,0,0,0,0,0,0,10,1,0
1.4,django/conf/locale/sk/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,tests/regressiontests/templates/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,django/contrib/gis/tests/relatedapp/models.py,0,0,0,0,0,0,0,0,0,0,40,0,0
1.4,tests/regressiontests/middleware/cond_get_urls.py,0,0,0,0,0,0,0,0,0,0,4,0,0
1.4,django/contrib/gis/db/models/__init__.py,0,0,0,0,0,0,0,0,0,0,4,0,0
1.4,tests/regressiontests/many_to_one_regress/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,django/contrib/gis/db/backends/spatialite/creation.py,0,0,0,0,0,0,0,0,0,0,79,3,1
1.4,tests/regressiontests/db_typecasts/tests.py,0,0,0,0,0,0,0,0,0,0,51,1,0
1.4,django/core/handlers/wsgi.py,0,0,0,0,0,0,0,0,0,0,200,5,0
1.4,django/contrib/gis/geos/prototypes/topology.py,0,0,0,0,0,0,0,0,0,0,40,0,0
1.4,django/contrib/localflavor/ro/ro_counties.py,0,0,0,0,0,0,0,0,0,0,44,1,0
1.4,django/contrib/localflavor/pl/pl_administrativeunits.py,0,0,0,0,0,0,0,0,0,0,378,1,0
1.4,django/views/decorators/debug.py,0,0,0,0,0,0,0,0,0,0,22,1,0
1.4,tests/modeltests/m2m_signals/tests.py,0,2,0,0,0,0,0,0,0,0,322,0,0
1.4,django/contrib/comments/views/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,tests/regressiontests/model_forms_regress/tests.py,0,0,0,0,0,0,0,0,0,0,315,4,0
1.4,tests/regressiontests/views/app4/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,django/contrib/auth/signals.py,0,0,0,0,0,0,0,0,0,0,3,1,0
1.4,django/conf/locale/eu/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
