tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v1.0,numpy/f2py/lib/parser/sourceinfo.py,0,0,0,0,0,0,0,0,0,0,54,1,0
v1.0,numpy/lib/arraysetops.py,1,1,0,0,0,0,0,0,0,0,121,2,1
v1.0,numpy/lib/utils.py,0,2,0,0,0,0,0,0,0,0,269,8,0
v1.0,numpy/lib/tests/test_type_check.py,0,0,0,0,0,0,0,0,0,0,232,1,0
v1.0,numpy/lib/info.py,0,0,0,0,0,0,0,0,0,0,6,0,0
v1.0,numpy/distutils/fcompiler/nag.py,0,0,0,0,0,0,0,0,0,0,32,3,0
v1.0,numpy/core/code_generators/generate_array_api.py,0,1,0,0,0,0,0,0,0,0,72,1,0
v1.0,numpy/f2py/tests/f90/return_complex.py,0,1,0,0,0,0,0,0,0,0,59,1,0
v1.0,numpy/lib/__init__.py,0,0,0,0,0,0,0,0,0,0,30,1,0
v1.0,numpy/numarray/nd_image.py,0,0,0,0,0,0,0,0,0,0,9,0,0
v1.0,numpy/f2py/tests/run_all.py,0,0,0,0,0,0,0,0,0,0,39,0,0
v1.0,numpy/distutils/fcompiler/mips.py,0,0,0,0,0,0,0,0,0,0,49,2,0
v1.0,numpy/f2py/tests/f77/return_integer.py,0,1,0,0,0,0,0,0,0,0,71,1,0
v1.0,numpy/core/defmatrix.py,0,0,0,0,1,0,0,0,0,0,274,8,1
v1.0,numpy/numarray/image.py,0,0,0,0,0,0,0,0,0,0,9,1,0
v1.0,numpy/f2py/tests/f77/callback.py,0,0,0,0,0,0,0,0,0,0,59,1,0
v1.0,numpy/distutils/tests/f2py_ext/tests/test_fib2.py,0,0,0,0,0,0,0,0,0,0,10,0,0
v1.0,numpy/linalg/tests/test_linalg.py,0,0,0,0,0,0,0,0,0,0,71,0,0
v1.0,numpy/core/tests/test_ma.py,0,5,0,0,1,0,0,0,1,0,780,2,0
v1.0,numpy/lib/polynomial.py,0,0,0,0,0,0,0,0,0,0,395,9,2
v1.0,numpy/distutils/fcompiler/ibm.py,0,0,0,0,0,0,0,0,0,0,64,8,0
v1.0,numpy/oldnumeric/mlab.py,0,0,0,0,0,0,0,0,0,0,87,3,0
v1.0,numpy/core/info.py,0,0,0,0,0,0,0,0,0,0,4,0,0
v1.0,numpy/oldnumeric/typeconv.py,0,0,0,0,0,0,0,0,0,0,36,1,0
v1.0,numpy/distutils/exec_command.py,0,3,0,0,0,0,0,0,0,0,436,3,0
v1.0,numpy/core/_internal.py,0,0,0,0,0,0,0,0,0,0,189,3,0
v1.0,numpy/f2py/lib/api.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.0,numpy/f2py/lib/parser/expressions.py,0,1,0,0,0,0,0,0,0,0,1076,5,0
v1.0,numpy/f2py/use_rules.py,0,0,0,0,0,0,0,0,0,0,62,0,0
v1.0,numpy/core/code_generators/generate_ufunc_api.py,0,0,0,0,0,0,0,0,0,0,41,0,0
v1.0,numpy/oldnumeric/alter_code2.py,0,0,0,0,0,0,0,0,0,0,94,1,0
v1.0,numpy/lib/getlimits.py,0,0,0,0,0,0,0,0,0,0,93,4,0
v1.0,numpy/numarray/util.py,0,0,0,0,0,0,0,0,0,0,35,1,0
v1.0,setup.py,0,0,0,0,0,0,0,0,0,0,47,2,0
v1.0,numpy/numarray/compat.py,0,0,0,0,0,0,0,0,0,0,2,0,0
v1.0,numpy/distutils/mingw32ccompiler.py,1,0,0,0,0,0,0,0,0,0,138,0,0
v1.0,numpy/core/numerictypes.py,0,0,0,0,0,0,0,0,0,0,315,4,1
v1.0,numpy/distutils/command/build.py,0,0,0,0,0,0,0,0,0,0,15,4,0
v1.0,numpy/distutils/conv_template.py,0,0,0,0,0,0,0,0,0,0,140,0,0
