tag,file,LongParameterList,LongMethod,LongScopeChaining,LongBaseClassList,LargeClass,LongMessageChain,ComplexLambdaExpression,LongTernaryConditionalExpression,ComplexContainerComprehension,MultiplyNestedContainer,LOC,change,fault
v1.2.1,website/markdown/html4.py,1,1,0,0,0,0,0,0,0,0,182,1,0
v1.2.1,tornado/websocket.py,0,0,0,0,0,0,0,0,0,0,154,18,1
v1.2.1,website/markdown/postprocessors.py,0,0,0,0,0,0,0,0,0,0,43,1,0
v1.2.1,tornado/escape.py,0,0,0,0,0,0,0,0,0,0,112,12,1
v1.2.1,tornado/simple_httpclient.py,1,1,0,0,0,0,0,0,0,0,308,22,2
v1.2.1,demos/blog/blog.py,0,0,0,0,0,0,0,0,0,0,138,1,0
v1.2.1,tornado/wsgi.py,0,1,0,0,0,0,0,0,0,0,195,10,2
v1.2.1,tornado/locale.py,0,1,0,0,0,0,0,3,0,0,296,6,1
v1.2.1,demos/facebook/facebook.py,0,0,0,0,0,0,0,0,0,0,86,3,0
v1.2.1,tornado/httpclient.py,1,1,0,0,0,0,0,0,0,0,451,13,1
v1.2.1,tornado/web.py,0,2,0,0,1,0,0,1,4,0,1008,50,3
v1.2.1,tornado/test/simple_httpclient_test.py,0,0,0,0,0,0,1,0,0,0,157,16,2
v1.2.1,website/markdown/commandline.py,0,0,0,0,0,0,0,0,0,0,64,1,0
v1.2.1,demos/benchmark/benchmark.py,0,0,0,0,0,0,0,0,0,0,24,2,0
v1.2.1,tornado/__init__.py,0,0,0,0,0,0,0,0,0,0,3,4,0
v1.2.1,tornado/autoreload.py,0,0,0,0,0,0,0,0,0,0,52,13,2
v1.2.1,tornado/test/stack_context_test.py,0,0,0,0,0,0,0,0,0,0,65,2,0
v1.2.1,website/markdown/extensions/toc.py,0,1,0,0,0,0,0,0,0,0,89,1,0
v1.2.1,website/website.py,0,0,0,0,0,0,0,0,0,0,41,4,0
v1.2.1,demos/appengine/blog.py,0,0,0,0,0,0,0,0,0,0,120,1,0
v1.2.1,website/markdown/blockparser.py,0,0,0,0,0,0,0,0,0,0,34,1,0
v1.2.1,tornado/database.py,0,0,0,0,0,0,0,0,0,0,123,4,1
v1.2.1,demos/chat/chatdemo.py,0,0,0,0,0,0,0,0,0,0,108,2,0
v1.2.1,setup.py,0,0,0,0,0,0,0,0,0,0,27,7,0
v1.2.1,tornado/stack_context.py,0,0,0,0,0,0,0,0,1,0,74,9,0
v1.2.1,demos/appengine/markdown.py,0,5,0,0,1,0,0,0,0,0,980,0,0
v1.2.1,website/markdown/__init__.py,0,1,0,0,0,0,0,0,0,0,297,1,0
v1.2.1,tornado/test/testing_test.py,0,0,0,0,0,0,0,0,0,0,12,1,0
v1.2.1,tornado/auth.py,4,1,0,0,0,0,0,0,2,0,605,12,0
v1.2.1,website/markdown/inlinepatterns.py,0,0,0,0,0,0,0,0,1,0,212,1,0
v1.2.1,website/markdown/etree_loader.py,0,0,0,0,0,0,0,0,0,0,28,1,0
v1.2.1,tornado/test/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0
v1.2.1,demos/auth/authdemo.py,0,0,0,0,0,0,0,0,0,0,52,0,0
v1.2.1,tornado/iostream.py,0,0,0,0,0,0,0,0,0,0,322,24,2
v1.2.1,website/markdown/preprocessors.py,0,1,0,0,0,0,0,0,0,0,131,1,0
v1.2.1,tornado/test/escape_test.py,0,0,0,0,0,0,0,0,0,0,82,4,1
v1.2.1,tornado/test/runtests.py,0,0,0,0,0,0,0,0,0,0,17,11,0
v1.2.1,tornado/test/ioloop_test.py,0,0,0,0,0,0,0,0,0,0,19,3,0
v1.2.1,tornado/test/web_test.py,0,0,0,0,0,0,0,0,0,0,97,20,1
v1.2.1,tornado/s3server.py,0,1,0,0,0,0,0,0,0,0,190,2,0
v1.2.1,tornado/options.py,0,0,0,0,1,0,0,0,1,0,257,6,0
v1.2.1,tornado/test/iostream_test.py,0,0,0,0,0,0,0,0,0,0,24,5,0
v1.2.1,tornado/testing.py,0,0,0,0,0,0,0,0,0,0,171,13,0
v1.2.1,tornado/ioloop.py,0,1,0,0,1,0,0,0,0,0,330,20,1
v1.2.1,demos/helloworld/helloworld.py,0,0,0,0,0,0,0,0,0,0,18,0,0
v1.2.1,tornado/template.py,1,1,0,0,0,0,0,0,0,0,376,25,2
v1.2.1,tornado/httputil.py,0,0,0,0,0,0,0,0,0,0,64,11,2
v1.2.1,tornado/test/httpserver_test.py,0,0,0,0,0,0,0,0,0,0,52,16,1
v1.2.1,tornado/httpserver.py,0,0,0,0,0,0,0,0,0,0,325,34,1
v1.2.1,tornado/win32_support.py,0,0,0,0,0,0,0,0,0,0,68,1,0
v1.2.1,website/markdown/blockprocessors.py,0,0,0,0,0,0,0,0,0,0,255,1,0
v1.2.1,demos/blog/markdown.py,0,5,0,0,1,0,0,0,0,0,980,0,0
v1.2.1,website/markdown/odict.py,0,0,0,0,0,0,0,0,0,0,121,1,0
v1.2.1,website/markdown/treeprocessors.py,0,0,0,0,0,0,0,0,0,0,189,1,0
v1.2.1,demos/facebook/uimodules.py,0,0,0,0,0,0,0,0,0,0,4,1,0
v1.2.1,website/markdown/extensions/__init__.py,0,0,0,0,0,0,0,0,0,0,0,1,0
