subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,20,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,20,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,21,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,37,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,40,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,40,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,42,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,42,2,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter2_MorePyMC\separation_plot.py,45,1,,,0,0,0
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\Probabilistic-Programming-and-Bayesian-Methods-for-Hackers\Chapter3_MCMC\github_pull.py,45,1,,,0,0,0
