subject,file,lineno,PAR,experience-based,statistics-based,tuning machine
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,31,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,51,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,124,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,153,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,171,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,183,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,187,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,202,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,207,4,0,1,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,217,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,221,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,233,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,236,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,241,3,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,247,3,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,251,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,261,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,265,3,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,274,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,278,3,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,319,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,347,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,364,3,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,375,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,392,4,0,1,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,436,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,446,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,466,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,478,4,0,1,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,491,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,537,6,1,1,1
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,560,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,566,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,571,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,575,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,586,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,600,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,618,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,624,2,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,631,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,649,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,678,1,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,682,3,0,0,0
bottle,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\bottle\bottle.py,698,3,0,0,0
