subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,21,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,47,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,49,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,90,,2,1,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,94,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,95,,2,1,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,95,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,95,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,99,,2,1,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,99,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,119,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,157,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,183,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,191,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,192,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,193,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,194,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\setup.py,195,1,,,0,0,0
celery,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\celery\celery\beat.py,117,,2,1,0,0,0
