subject,file,lineno,CLOC,experience-based,statistics-based,tuning machine
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,112,21,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,548,12,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,722,16,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,895,13,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,1114,7,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,1167,5,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,1198,17,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,1400,11,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\core.py,1664,8,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,5,5,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,27,4,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,51,3,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,87,3,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,134,3,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,160,2,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,172,3,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\exceptions.py,187,1,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\formatting.py,85,13,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\parser.py,63,4,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\parser.py,111,3,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\parser.py,123,2,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\parser.py,132,10,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\testing.py,24,9,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\testing.py,72,4,0,0,0
click,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\click\click\testing.py,100,7,0,0,0
