subject,file,lineno,NOC,NOL,experience-based,statistics-based,tuning machine
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\contrib\linode\apply-firewall.py,55,58,1,1,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\contrib\linode\apply-firewall.py,86,33,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\contrib\linode\apply-firewall.py,157,42,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,567,59,1,1,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,883,66,1,1,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,946,40,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,947,41,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,959,35,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,963,30,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,965,36,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,967,36,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,975,35,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,979,32,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,988,33,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,992,33,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,994,39,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\models.py,996,39,1,0,0,0
deis,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\deis\controller\api\south_migrations\0004_add_custom_perms.py,14,22,1,0,0,0
