subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\setup.py,30,,2,1,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\docs\conf.py,180,,2,1,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\docs\conf.py,206,,2,1,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,48,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,54,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,65,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,68,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,75,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,110,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,111,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,145,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\api.py,163,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,101,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,129,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,129,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,131,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,131,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,316,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\authentication.py,343,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\cache.py,93,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\cache.py,96,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\fields.py,201,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\fields.py,528,1,,,0,0,0
django-tastypie,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\django-tastypie\tastypie\fields.py,537,1,,,0,0,0
