subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,12,2,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,17,13,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,37,7,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,50,2,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,55,6,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,64,7,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,75,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,28,0,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,37,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,40,2,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,45,8,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,57,11,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,72,16,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,103,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,106,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,109,1,0,0,0
