subject,file,lineno,NOC,NOL,experience-based,statistics-based,tuning machine
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,49,44,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,110,47,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,113,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,123,54,2,1,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,162,23,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,185,42,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,201,27,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,222,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,235,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,250,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,259,15,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,271,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,285,49,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,295,30,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,298,26,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,305,30,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,313,17,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,317,23,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,330,31,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,364,31,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,382,37,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,386,37,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,387,44,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,473,22,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,553,34,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\examples\config_file_example.py,49,28,1,0,0,0
