subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,20,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,26,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\conftest.py,71,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,53,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,53,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,80,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,85,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,117,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,117,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,128,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,160,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,162,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,201,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,258,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,278,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,298,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,319,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,319,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,320,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,320,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,341,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,341,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,352,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,353,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,353,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,410,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,410,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,457,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,458,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,458,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,473,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,473,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,553,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\docopt.py,560,1,,,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,147,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,148,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,149,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,151,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,153,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,158,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,159,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,163,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,165,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,170,,2,1,0,0,0
docopt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\docopt\test_docopt.py,171,,2,1,0,0,0
