subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\runserver.py,5,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\config.py,3,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\config.py,3,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\config.py,5,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\config.py,7,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\config.py,9,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,16,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,50,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,90,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,98,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,107,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,115,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,133,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,136,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,144,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,145,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,163,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,164,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,165,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,179,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,182,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,183,3,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\fixer.py,193,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,30,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,33,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,40,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,41,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,42,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,44,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,44,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,45,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,45,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,45,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,49,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,51,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,57,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,58,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,62,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,66,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,135,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,141,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,153,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,157,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,177,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,178,2,0,0,0
explainshell,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\explainshell\explainshell\manager.py,178,2,0,0,0
