subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabfile\__init__.py,24,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\auth.py,10,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\context_managers.py,155,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\context_managers.py,332,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\context_managers.py,333,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\context_managers.py,422,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\context_managers.py,563,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\docs.py,50,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\exceptions.py,22,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,53,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,58,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,59,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,159,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,196,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,197,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,200,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,207,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,220,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,235,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,241,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\io.py,242,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\job_queue.py,88,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\job_queue.py,118,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\job_queue.py,123,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\job_queue.py,150,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\job_queue.py,151,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,50,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,53,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,64,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,78,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,79,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,79,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,91,2,0,0,0
fabric,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\fabric\fabric\main.py,96,2,0,0,0
