subject,file,lineno,CLOC,experience-based,statistics-based,tuning machine
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\cli.py,109,3,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\documentor.py,10,5,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\factory.py,14,4,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\generator.py,13,12,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\__init__.py,17,16,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\__init__.py,12,24,1,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\cs_CZ\__init__.py,6,157,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\de_DE\__init__.py,7,159,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\el_GR\__init__.py,29,4633,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\en\__init__.py,5,49,1,0,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\en_AU\__init__.py,6,66,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\en_CA\__init__.py,6,68,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\en_GB\__init__.py,5,86,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\en_US\__init__.py,7,91,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\es\__init__.py,6,49,1,0,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\es_ES\__init__.py,7,30,1,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\es_MX\__init__.py,6,65,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\fa_IR\__init__.py,7,24,1,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\fi_FI\__init__.py,6,116,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\fr_FR\__init__.py,6,97,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\hi_IN\__init__.py,6,31,1,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\hr_HR\__init__.py,6,150,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\it_IT\__init__.py,6,98,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\ja_JP\__init__.py,8,78,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\ko_KR\__init__.py,6,53,1,0,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\nl_NL\__init__.py,7,558,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\no_NO\__init__.py,7,23,1,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\pl_PL\__init__.py,6,606,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\pt_BR\__init__.py,6,187,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\pt_PT\__init__.py,6,103,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\sk_SK\__init__.py,6,1134,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\sl_SI\__init__.py,6,487,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\sv_SE\__init__.py,7,83,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\zh_CN\__init__.py,6,50,1,0,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\address\zh_TW\__init__.py,6,69,1,1,1
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\barcode\__init__.py,7,4,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\barcode\en_US\__init__.py,4,2,0,0,0
faker,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\faker\faker\providers\color\__init__.py,9,46,1,0,1
