subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\__init__.py,57,45,1,8,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_autodiscover.py,44,47,1,8,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_monitor_list.py,131,70,2,15,1,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_monitor_list.py,150,37,1,5,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_monitor_list.py,151,40,1,5,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_processes.py,531,32,1,6,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_stats.py,137,22,1,4,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_stats.py,141,22,1,4,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_stats.py,175,47,1,9,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_stats.py,182,50,1,9,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_stats.py,195,44,1,8,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\core\glances_stats.py,206,49,1,9,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\exports\glances_csv.py,81,72,1,11,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\exports\glances_csv.py,90,60,1,7,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\exports\glances_export.py,151,48,1,11,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\exports\glances_history.py,135,52,2,13,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\plugins\glances_docker.py,209,39,1,8,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\plugins\glances_ip.py,128,32,1,10,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\plugins\glances_plugin.py,101,46,1,7,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\plugins\glances_plugin.py,110,46,1,7,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\plugins\glances_sensors.py,265,57,2,9,0,0,0
glances,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\glances\glances\plugins\glances_sensors.py,267,56,2,9,0,0,0
