subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\setup.py,39,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\setup.py,39,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\setup.py,43,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\setup.py,43,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\gunicorn_ext.py,27,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,260,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,312,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,392,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,405,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,555,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,564,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,577,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,606,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,637,3,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,719,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,754,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,783,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,864,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,923,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,926,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,929,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,979,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,1012,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,1146,3,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,1216,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,1227,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,1249,2,0,0,0
gunicorn,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\gunicorn\docs\sitemap_gen.py,1258,2,0,0,0
