subject,file,lineno,MLOC,experience-based,statistics-based,tuning machine
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\setup.py,8,5,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\setup.py,15,11,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,12,3,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,17,9,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,28,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,31,8,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,43,7,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,53,2,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,57,4,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,63,5,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,70,4,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,76,4,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,85,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,88,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,91,6,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,92,4,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,45,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,48,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,73,8,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,85,5,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,94,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,98,4,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,105,7,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,117,17,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,143,27,1,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,177,17,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,198,3,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,204,2,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,209,5,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,217,10,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,236,19,0,0,0
