subject,file,lineno,PAR,experience-based,statistics-based,tuning machine
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\setup.py,8,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\setup.py,15,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,12,2,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,17,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,28,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,31,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,43,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,53,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,57,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,63,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,70,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,76,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,85,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,88,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,91,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\test_howdoi.py,92,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,45,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,48,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,73,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,85,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,94,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,98,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,105,2,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,117,2,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,143,2,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,177,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,198,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,204,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,209,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,217,1,0,0,0
howdoi,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\howdoi\howdoi\howdoi.py,236,1,0,0,0
