subject,file,lineno,DOC,experience-based,statistics-based,tuning machine
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\docs\jinjaext.py,110,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\docs\jinjaext.py,139,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\ext\django2jinja\django2jinja.py,100,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\ext\django2jinja\django2jinja.py,107,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\ext\django2jinja\django2jinja.py,675,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\bccache.py,219,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\compiler.py,43,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\compiler.py,288,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\compiler.py,1467,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\compiler.py,1483,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\compiler.py,1596,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\debug.py,66,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\debug.py,276,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\environment.py,612,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\environment.py,1177,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\ext.py,135,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\ext.py,145,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\ext.py,553,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\filters.py,54,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\filters.py,194,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\loaders.py,250,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\nodes.py,682,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\parser.py,267,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\parser.py,749,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\parser.py,847,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\jinja2\runtime.py,531,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\scripts\jinja2-debug.py,22,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\scripts\make-release.py,67,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_api.py,40,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_api.py,79,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_api.py,193,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_core_tags.py,71,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_debug.py,43,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_debug.py,66,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_ext.py,261,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_imports.py,87,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_lexnparse.py,213,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_security.py,129,2,0,0,0
jinja2,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\jinja2\tests\test_security.py,146,2,0,0,0
