subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,13,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,13,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,23,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,23,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,26,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,29,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\setup.py,30,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,155,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,178,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,255,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,303,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,323,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,334,3,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,355,3,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,370,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,371,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,374,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,398,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,426,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,503,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,521,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,543,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,548,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,580,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges.py,638,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges_test.py,38,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges_test.py,59,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges_test.py,70,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges_test.py,72,2,0,0,0
letsencrypt,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\letsencrypt\acme\acme\challenges_test.py,100,2,0,0,0
