subject,file,lineno,LMC,experience-based,statistics-based,tuning machine
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,43,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,44,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,44,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,68,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,68,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,69,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,70,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,71,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,72,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,85,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,88,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,90,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,92,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,119,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,123,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,152,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,153,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,154,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,155,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,156,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,171,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,173,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,175,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,177,2,0,0,0
mackup,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\mackup\mackup\application.py,192,2,0,0,0
