subject,file,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,27,60,2,8,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,52,46,1,9,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,77,60,2,12,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,144,75,1,20,1,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,145,79,1,20,1,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,146,59,1,17,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\driver.py,177,54,1,7,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\eval_sentence_predictions.py,53,44,1,10,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\eval_sentence_predictions.py,77,46,2,10,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\eval_sentence_predictions.py,92,26,1,5,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\predict_on_images.py,79,46,2,10,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\py_caffe_feat_extract.py,192,40,1,5,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\py_caffe_feat_extract.py,243,49,1,8,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\data_provider.py,58,48,1,10,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\generic_batch_generator.py,64,31,1,7,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\generic_batch_generator.py,83,57,2,12,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\generic_batch_generator.py,84,17,1,6,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\generic_batch_generator.py,141,31,1,7,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\imagernn_utils.py,28,60,2,12,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\lstm_generator.py,271,24,1,9,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\imagernn\rnn_generator.py,239,24,1,9,0,0,0
neuraltalk,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\neuraltalk\python_features\extract_features.py,67,31,1,5,0,0,0
