subject,file,lineno,LEC,DNC,NCT,experience-based,statistics-based,tuning machine
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\setup.py,22,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\completion_refresher.py,32,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\completion_refresher.py,39,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\completion_refresher.py,79,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\encodingutils.py,3,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\encodingutils.py,4,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\magic.py,22,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\magic.py,50,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,80,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,81,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,82,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,83,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,84,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,85,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,86,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,89,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,89,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,99,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,122,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,122,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,122,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,133,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,144,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,145,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,164,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,174,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,276,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,293,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,424,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,429,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,439,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,519,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,553,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,601,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\main.py,607,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,40,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,56,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,56,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,57,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,76,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,78,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,83,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,99,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,117,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,119,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,130,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,135,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,136,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,138,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,147,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,151,2,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,161,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,217,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,241,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,243,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,244,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,260,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,264,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,267,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,277,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,287,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,288,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,301,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,303,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,307,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,315,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,317,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,319,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,327,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,328,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,333,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,338,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,345,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,351,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,360,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,363,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,368,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,375,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,462,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,473,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,485,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgcompleter.py,499,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,290,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,302,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,310,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgexecute.py,371,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgtoolbar.py,16,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgtoolbar.py,21,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\pgtoolbar.py,26,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,86,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,92,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,132,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,132,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,134,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,148,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,148,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,150,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,165,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,165,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,167,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,184,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,184,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\counter.py,186,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\function_metadata.py,112,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\function_metadata.py,130,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\function_metadata.py,132,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\function_metadata.py,142,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,45,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,46,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,46,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,46,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,52,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,53,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,57,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,59,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,60,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,64,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,66,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,67,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,80,1,,,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,86,,2,1,0,0,0
pgcli,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\pgcli\pgcli\packages\ordereddict.py,87,,2,1,0,0,0
