subject,file,lineno,NBC,experience-based,statistics-based,tuning machine
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\3-tier.py,5,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\3-tier.py,19,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\3-tier.py,31,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\adapter.py,7,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\adapter.py,15,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\adapter.py,23,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\adapter.py,31,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\adapter.py,39,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\borg.py,16,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\bridge.py,8,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\bridge.py,15,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\bridge.py,22,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\builder.py,11,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\builder.py,26,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\builder.py,36,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\builder.py,45,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\builder.py,55,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\chain.py,23,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\chain.py,30,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\chain.py,37,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\chain.py,43,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\command.py,7,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\composite.py,39,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\composite.py,74,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\flyweight.py,9,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\flyweight.py,46,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\flyweight.py,68,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\front_controller.py,11,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\front_controller.py,16,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\front_controller.py,21,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\front_controller.py,35,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\front_controller.py,47,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\lazy_evaluation.py,24,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\memento.py,39,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\memento.py,59,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\mvc.py,5,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\mvc.py,14,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\mvc.py,32,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\observer.py,7,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\observer.py,29,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\proxy.py,31,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\registry.py,5,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\registry.py,37,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,14,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,30,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,45,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,58,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,71,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,81,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,87,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\specification.py,93,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\state.py,7,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\state.py,19,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\state.py,32,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\state.py,45,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\visitor.py,4,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\visitor.py,8,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\visitor.py,12,1,0,0,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\visitor.py,16,2,0,1,0
python-patterns,C:\Users\Zhifei Chen\Desktop\pysmell\subjects_for_metrics\python-patterns\visitor.py,20,1,0,0,0
